playerid,PlayerSeason,WAR
1002108,1977 Ron Cey,4.3
1004409,1955 Carl Furillo,4.3
1012606,1991 Darryl Strawberry,4.2
1011311,1982 Bill Russell,4.2
1001871,1952 Roy Campanella,4.2
1152,2006 J.D. Drew,4.2
1314,1996 Raul Mondesi,4.2
1009473,1959 Charlie Neal,4.2
1007830,1904 Harry Lumley,4.1
1007559,1934 Sam Leslie,4.1
1011843,1905 Jimmy Sheckard,4.1
1009423,1920 Hy Myers,4.1
1013512,1946 Dixie Walker,4.1
1005883,1957 Gil Hodges,4.1
1012143,1885 Germany Smith,4.1
1004409,1949 Carl Furillo,4.1
1314,1995 Raul Mondesi,4.1
1007473,1965 Jim Lefebvre,4.0
1006466,1921 Jimmy Johnston,4.0
15998,2017 Cody Bellinger,4.0
1006747,1902 Willie Keeler,4.0
1003005,1916 Jake Daubert,4.0
1002957,1901 Tom Daly,4.0
1004724,1963 Jim Gilliam,4.0
639,2002 Adrian Beltre,4.0
1004311,1929 Johnny Frederick,4.0
1011843,1902 Jimmy Sheckard,4.0
1010776,1955 Pee Wee Reese,4.0
1002924,1902 Bill Dahlen,3.9
1005643,1928 Harvey Hendrick,3.9
1005047,1891 Mike Griffin,3.9
1003005,1915 Jake Daubert,3.9
639,2000 Adrian Beltre,3.9
1003088,1973 Willie Davis,3.9
1010694,1989 Willie Randolph,3.9
1004724,1953 Jim Gilliam,3.9
1005883,1955 Gil Hodges,3.9
1003005,1911 Jake Daubert,3.9
1005691,1931 Babe Herman,3.9
1006776,1900 Joe Kelley,3.8
1003084,1963 Tommy Davis,3.8
88,2006 Rafael Furcal,3.8
1013512,1947 Dixie Walker,3.8
653,1999 Mark Grudzielanek,3.8
1004557,1974 Steve Garvey,3.8
893,1994 Mike Piazza,3.8
1004557,1977 Steve Garvey,3.8
1007386,1939 Cookie Lavagetto,3.8
8001,2014 Hanley Ramirez,3.7
1009085,1960 Wally Moon,3.7
1007750,1974 Davey Lopes,3.7
1000450,1977 Dusty Baker,3.7
1012230,1951 Duke Snider,3.7
1009734,1931 Lefty O'Doul,3.7
1006080,1962 Frank Howard,3.7
1908,2014 Adrian Gonzalez,3.7
1001625,1976 Bill Buckner,3.7
1005883,1956 Gil Hodges,3.7
1001716,1889 Oyster Burns,3.6
656,2004 Cesar Izturis,3.6
15998,2018 Cody Bellinger,3.6
1119,2005 Jeff Kent,3.6
1000393,1904 Charlie Babb,3.6
114,1999 Gary Sheffield,3.6
1001285,1934 Buzz Boyle,3.6
1002924,1900 Bill Dahlen,3.6
1002924,1901 Bill Dahlen,3.6
1003005,1912 Jake Daubert,3.6
1010776,1950 Pee Wee Reese,3.6
8203,2014 Dee Gordon,3.6
1012766,1886 Ed Swartwood,3.6
1002108,1982 Ron Cey,3.6
1012599,1903 Sammy Strang,3.6
1012623,1932 Joe Stripp,3.5
1014083,1932 Hack Wilson,3.5
1011070,1947 Jackie Robinson,3.5
1004724,1962 Jim Gilliam,3.5
1009423,1919 Hy Myers,3.5
1013168,1894 George Treadway,3.5
1012406,1947 Eddie Stanky,3.5
1005692,1941 Billy Herman,3.5
1007750,1973 Davey Lopes,3.5
1006619,1907 Tim Jordan,3.5
1009686,1888 Darby O'Brien,3.4
1010358,1891 George Pinkney,3.4
1002454,1889 Hub Collins,3.4
1002913,1913 George Cutshaw,3.4
1010281,1885 Bill Phillips,3.4
1011481,1982 Steve Sax,3.4
1006897,1920 Pete Kilduff,3.4
1004343,1935 Lonny Frey,3.4
1001625,1974 Bill Buckner,3.4
639,1999 Adrian Beltre,3.4
1005691,1928 Babe Herman,3.4
1003461,1903 Jack Doyle,3.4
1003907,1965 Ron Fairly,3.4
5235,2019 Justin Turner,3.4
1004557,1979 Steve Garvey,3.4
6265,2013 Andre Ethier,3.4
1004266,1889 Dave Foutz,3.4
6265,2008 Andre Ethier,3.3
1009085,1961 Wally Moon,3.3
1002957,1894 Tom Daly,3.3
5631,2008 Matt Kemp,3.3
1014053,1963 Maury Wills,3.3
13624,2019 Corey Seager,3.3
1012481,1916 Casey Stengel,3.3
1002848,1932 Tony Cuccinello,3.3
1006619,1906 Tim Jordan,3.3
1006747,1901 Willie Keeler,3.3
1005047,1896 Mike Griffin,3.3
1013828,1913 Zack Wheat,3.3
1002108,1981 Ron Cey,3.3
1003005,1914 Jake Daubert,3.3
369,2004 Milton Bradley,3.3
1001772,1994 Brett Butler,3.3
1004724,1960 Jim Gilliam,3.3
1002750,1974 Willie Crawford,3.3
1009784,1945 Luis Olmo,3.2
639,2003 Adrian Beltre,3.2
1013828,1910 Zack Wheat,3.2
1005691,1926 Babe Herman,3.2
651,2000 Shawn Green,3.2
1012197,1912 Red Smith,3.2
1012481,1917 Casey Stengel,3.2
1006555,1900 Fielder Jones,3.2
1005883,1950 Gil Hodges,3.1
1013512,1940 Dixie Walker,3.1
1006555,1897 Fielder Jones,3.1
1009948,1952 Andy Pafko,3.1
11899,2015 Joc Pederson,3.1
1013828,1921 Zack Wheat,3.1
1007303,1982 Ken Landreaux,3.1
1006776,1901 Joe Kelley,3.1
1010358,1887 George Pinkney,3.1
1009386,1989 Eddie Murray,3.1
1002951,1914 Jack Dalton,3.1
13757,2018 Chris Taylor,3.1
1011311,1974 Bill Russell,3.1
1004557,1980 Steve Garvey,3.1
1005883,1949 Gil Hodges,3.1
1005047,1898 Mike Griffin,3.1
1008145,1985 Mike Marshall,3.1
1003005,1918 Jake Daubert,3.1
1000997,1930 Del Bissonette,3.1
1006180,1911 John Hummel,3.1
1011311,1977 Bill Russell,3.1
4616,2009 Russell Martin,3.1
11899,2019 Joc Pederson,3.0
1013828,1912 Zack Wheat,3.0
1012481,1914 Casey Stengel,3.0
1005047,1893 Mike Griffin,3.0
1009271,1916 Mike Mowrey,3.0
1005692,1942 Billy Herman,3.0
1010009,1966 Wes Parker,3.0
1007830,1907 Harry Lumley,3.0
1002957,1892 Tom Daly,3.0
1003005,1910 Jake Daubert,3.0
1001398,1928 Rube Bressler,3.0
1008391,1886 Bill McClellan,3.0
88,2009 Rafael Furcal,3.0
6265,2012 Andre Ethier,3.0
6265,2011 Andre Ethier,3.0
1004266,1888 Dave Foutz,3.0
1008694,1886 Jim McTamany,3.0
1908,2015 Adrian Gonzalez,3.0
1010009,1969 Wes Parker,3.0
13611,2020 Mookie Betts,3.0
1000450,1979 Dusty Baker,2.9
1013512,1943 Dixie Walker,2.9
275,1995 Delino DeShields,2.9
14225,2017 Yasiel Puig,2.9
1009473,1957 Charlie Neal,2.9
1012143,1887 Germany Smith,2.9
1006555,1896 Fielder Jones,2.9
1007303,1983 Ken Landreaux,2.9
1003907,1963 Ron Fairly,2.9
719,2010 Casey Blake,2.9
1010358,1889 George Pinkney,2.9
1007093,1920 Ed Konetchy,2.8
1119,2007 Jeff Kent,2.8
1004724,1954 Jim Gilliam,2.8
1011311,1978 Bill Russell,2.8
1007525,1909 Ed Lennox,2.8
1004409,1951 Carl Furillo,2.8
1014053,1964 Maury Wills,2.8
