Season,Name,WAR,playerid
2005,Jeremy Bonderman,3.2,1667
2001,Steve Sparks,3.2,499
1914,Harry Coveleski,3.2,1002681
1902,Ed Siever,3.1,1011958
1958,Jim Bunning,3.1,1001653
1962,Don Mossi,3.1,1009250
2015,Justin Verlander,3.1,8700
1952,Art Houtteman,3.1,1006066
1998,Brian Moehler,3.1,480
2016,Michael Fulmer,3.1,13218
2017,Justin Verlander,3.1,8700
2002,Jeff Weaver,3.1,503
1939,Dizzy Trout,3.1,1013196
1978,Dave Rozema,3.1,1011273
2000,Jeff Weaver,3.1,503
1950,Art Houtteman,3.1,1006066
1989,Frank Tanana,3.1,1012818
1965,Dave Wickersham,3.1,1013917
1929,Earl Whitehill,3.1,1013866
1920,Doc Ayers,3.0,1000387
1978,Milt Wilcox,3.0,1013939
1993,David Wells,3.0,855
2014,Rick Porcello,3.0,2717
1945,Al Benton,3.0,1000853
2012,Rick Porcello,3.0,2717
1951,Dizzy Trout,3.0,1013196
1997,Willie Blair,3.0,1001033
1907,Bill Donovan,3.0,1003393
1935,Alvin Crowder,3.0,1002820
1957,Frank Lary,3.0,1007364
1957,Duke Maas,2.9,1007894
1949,Ted Gray,2.9,1004978
1923,Herman Pillette,2.9,1010351
1938,Tommy Bridges,2.9,1001421
1928,Earl Whitehill,2.9,1013866
1990,Jack Morris,2.9,1009211
2019,Spencer Turnbull,2.9,16207
1954,Steve Gromek,2.9,1005080
1936,Elden Auker,2.9,1000366
2013,Rick Porcello,2.9,2717
1970,Les Cain,2.9,1001821
1933,Carl Fischer,2.9,1004067
1940,Schoolboy Rowe,2.9,1011259
1985,Dan Petry,2.9,1010246
1951,Ted Gray,2.9,1004978
1931,George Uhle,2.8,1013266
1925,Earl Whitehill,2.8,1013866
1906,Red Donahue,2.8,1003373
1940,Johnny Gorsica,2.8,1004890
2006,Justin Verlander,2.8,8700
1981,Milt Wilcox,2.8,1013939
1919,Dutch Leonard,2.8,1007532
1904,George Mullin,2.8,1009302
1979,Milt Wilcox,2.8,1013939
1948,Art Houtteman,2.8,1006066
2007,Jeremy Bonderman,2.8,1667
1944,Johnny Gorsica,2.8,1004890
1901,Jack Cronin,2.8,1002794
1903,Frank Kitson,2.8,1006981
1973,John Hiller,2.8,1005817
1960,Don Mossi,2.8,1009250
1974,John Hiller,2.8,1005817
1930,Vic Sorrell,2.7,1012283
1999,Dave Mlicki,2.7,569
1932,Earl Whitehill,2.7,1013866
1963,Jim Bunning,2.7,1001653
1922,Howard Ehmke,2.7,1003707
2004,Jason Johnson,2.7,147
1912,Ed Willett,2.7,1013966
1933,Schoolboy Rowe,2.7,1011259
1981,Jack Morris,2.7,1009211
1950,Hal Newhouser,2.7,1009535
1910,Bill Donovan,2.7,1003393
1977,Mark Fidrych,2.7,1004023
1991,Walt Terrell,2.7,1012924
1917,Willie Mitchell,2.6,1009011
1941,Tommy Bridges,2.6,1001421
2004,Mike Maroth,2.6,1508
1919,Hooks Dauss,2.6,1003011
1942,Dizzy Trout,2.6,1013196
1963,Hank Aguirre,2.6,1000087
1920,Hooks Dauss,2.6,1003011
1988,Doyle Alexander,2.6,1000122
2005,Jason Johnson,2.6,147
1980,Dan Petry,2.5,1010246
1925,Hooks Dauss,2.5,1003011
1911,George Mullin,2.5,1009302
1904,Ed Killian,2.5,1006908
1942,Hal Newhouser,2.5,1009535
1949,Fred Hutchinson,2.5,1006238
