pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,4/5/2021,92.1,-2.91,5.95,"Stanton, Giancarlo",519317,542888,home_run,hit_into_play,,,,,5,Giancarlo Stanton hits a grand slam (1) to center field.   DJ LeMahieu scores.    Aaron Judge scores.    Aaron Hicks scores.,R,R,R,NYY,BAL,X,,fly_ball,0,1,2021,-0.47,1.3,-0.11,2.6,518934,592450,543305,2,5,Bot,85.78,11.76,,,600474,,,8.145693792,-133.8751076,-5.519346061,-7.323918114,28.09500214,-15.56046063,3.66,1.68,471,115.1,25,92.6,2712,6.6,634587,542888,600474,642162,602104,596748,520471,663624,656775,663630,53.9,1,1.975,2,1,0,3,6,40,2,4-Seam Fastball,2,0,2,0,0,6,6,0,Standard,Standard,198,0.146,3.477
FF,4/4/2021,97,-1.54,6.56,"Ohtani, Shohei",660271,656302,home_run,hit_into_play,,,,,2,Shohei Ohtani homers (2) on a fly ball to center field.,R,L,R,LAA,CWS,X,,fly_ball,0,0,2021,-0.56,1.6,-0.13,3.59,,,,1,1,Bot,172.24,22.03,,,518735,,,5.022149797,-141.1500505,-5.974232034,-8.710836336,33.20463675,-9.630845214,3.55,1.63,451,115.2,21,95.9,2363,5.7,634637,656302,518735,547989,663611,660162,544725,571740,673357,594809,54.75,0.98,1.832,2,1,0,3,6,6,1,4-Seam Fastball,0,0,0,0,0,1,1,0,Standard,Strategic,201,0.104,1
FF,9/8/2020,94.4,-2.69,5.57,"Devers, Rafael",646240,621107,home_run,hit_into_play,,,,,12,Rafael Devers homers (8) on a line drive to right field.,R,L,R,PHI,BOS,X,,line_drive,2,2,2020,-0.95,1.1,0.44,3.5,,,,0,3,Top,243.91,65.67,,,595284,,,10.30897365,-137.1923295,-2.122384059,-14.28148821,30.03900455,-18.05120389,3.29,1.48,416,116.5,23,95,2202,6.7,631149,621107,595284,656555,516416,664761,544369,457705,547180,594838,53.84,0.98,1.836,2,1,0,3,6,22,7,4-Seam Fastball,1,0,0,1,1,1,1,1,Infield shift,Standard,229,-0.144,1.035
CH,8/29/2020,86.6,-1.93,6.25,"Chapman, Matt",656305,425844,home_run,hit_into_play,,,,,4,Matt Chapman homers (10) on a line drive to left field.,R,R,R,HOU,OAK,X,,line_drive,2,1,2020,-1.18,0.66,-0.4,2.27,,,,0,4,Top,,,,,455117,,,6.04817586,-125.9103689,-4.602127218,-13.82301056,25.27127282,-24.43140643,3.46,1.6,413,115.9,24,86.2,1618,6.1,631427,425844,455117,493329,514888,649557,621043,663656,543807,502210,54.43,0.987,1.881,2,1,0,3,6,28,4,Changeup,5,1,1,5,2,5,2,5,Infield shift,Standard,223,-0.054,0.959
SI,8/22/2020,93.9,-1.2,5.46,"Sanó, Miguel",593934,663903,home_run,hit_into_play,,,,,7,Miguel Sano homers (5) on a fly ball to left field.,R,R,R,KC,MIN,X,,fly_ball,3,2,2020,-0.91,1.08,-0.59,1.88,,,,0,4,Top,6.14,44.25,,,595956,,,3.61938461,-136.7684211,-6.015499035,-12.20496504,28.20909705,-17.46090977,3.52,1.7,458,115.8,37,94.6,2190,6.5,631403,663903,595956,643436,670032,596748,609275,460086,593160,641531,54.01,0.947,1.909,2,1,0,3,6,26,7,Sinker,0,3,3,0,4,0,4,0,Infield shift,Standard,212,-0.062,0.932
FC,8/21/2020,81.2,3.12,4.96,"Guerrero Jr., Vladimir",665489,642232,home_run,hit_into_play,,,,,8,Vladimir Guerrero Jr.  homers (4) on a line drive to left field.,R,R,L,TB,TOR,X,,line_drive,1,0,2020,-0.33,0.71,-0.21,2.12,,,,0,2,Top,35.55,60.11,,,605421,,,-6.888012364,-118.133928,-1.113155627,-1.777431756,22.26299562,-25.49469986,3.47,1.59,390,115.9,16,81.8,2248,6.7,630960,642232,605421,596847,664040,650490,621563,640457,595281,592669,53.8,0.847,1.128,2,1,0,3,6,11,2,Cutter,1,1,1,1,2,1,2,1,Standard,Standard,165,-0.108,0.959
FF,8/20/2020,92.3,-2.1,5.69,"Tellez, Rowdy",642133,592826,home_run,hit_into_play,,,,,5,Rowdy Tellez homers (4) on a line drive to right field.,R,L,R,TOR,PHI,X,,line_drive,1,0,2020,-0.09,1.44,0.25,2.52,,,,0,6,Bot,,,,,595284,,,6.200321631,-134.3026404,-5.434384632,-2.401297709,28.87357403,-13.70998524,3.65,1.72,429,117.4,26,92.8,2428,6.6,630918,592826,595284,656555,664068,664761,544369,457705,596451,547180,53.94,0.987,1.909,2,1,0,3,6,49,2,4-Seam Fastball,2,7,2,7,7,3,3,7,Infield shift,Standard,205,0.021,0.959
SL,8/17/2020,85.9,-1.8,5.74,"Robert, Luis",673357,608335,home_run,hit_into_play,,,,,4,Luis Robert homers (5) on a line drive to left field.   Ryan Goins scores.,R,R,R,CWS,DET,X,,line_drive,3,1,2020,0.29,-0.01,-0.37,2.58,,572365,,0,8,Bot,,,,,519222,,,2.794534345,-125.2446383,-1.269625408,2.569371019,23.87824636,-32.2594568,3.54,1.66,433,115.5,22,86.7,2496,6.6,631493,608335,519222,600869,570731,670623,650489,622682,592444,457727,53.92,0.98,1.8,2,1,0,3,6,69,5,Slider,5,2,5,2,2,7,7,2,Standard,Standard,107,0.013,1.201
FF,8/12/2020,90.2,-1.59,5.9,"Hernández, Teoscar",606192,657141,home_run,hit_into_play,,,,,2,Teoscar Hernandez homers (5) on a fly ball to left center field.   Bo Bichette scores.,R,R,R,TOR,MIA,X,,fly_ball,1,0,2020,-0.47,1.39,0.05,2.87,,,666182,2,3,Bot,66.72,50.05,,,465041,,,5.061400935,-131.3360527,-4.534715359,-6.554172055,27.51420695,-15.28495794,3.42,1.58,466,115.9,23,90,2256,6.1,630902,657141,465041,542583,657193,605119,542340,459964,642423,542932,54.41,0.98,1.836,2,1,0,3,6,33,2,4-Seam Fastball,0,8,0,8,8,2,2,8,Infield shift,Standard,214,0.029,1.825
FF,8/8/2020,89,1.7,6.11,"Alonso, Pete",624413,641447,home_run,hit_into_play,,,,,2,Pete Alonso homers (2) on a line drive to left center field.   J.D. Davis scores.,R,R,L,NYM,MIA,X,,line_drive,0,0,2020,0.44,0.9,-0.12,2.91,,,605204,2,3,Bot,57.64,62.99,,,465041,,,-5.385759579,-129.5326703,-3.723056294,6.102169227,26.19695836,-21.5041446,3.49,1.6,366,116.9,18,89.1,2453,6.3,631236,641447,465041,542583,542932,605119,542340,572816,656509,621446,54.22,0.873,1.332,2,1,0,3,6,26,1,4-Seam Fastball,2,1,2,1,1,4,4,1,Infield shift,Standard,153,0.179,1.859
CH,7/27/2020,81.5,1.8,6.2,"Alonso, Pete",624413,605488,home_run,hit_into_play,,,,,5,Pete Alonso homers (1) on a line drive to left field.   Amed Rosario scores.,R,R,L,BOS,NYM,X,,line_drive,3,0,2020,0.76,0.98,-0.09,2.57,,,642708,1,3,Top,8.69,73.83,,,543877,,,-5.758492546,-118.7257566,-3.547134776,8.254092068,19.95245396,-22.40087552,3.49,1.6,402,116.3,22,82.5,1317,6.6,631669,605488,543877,519048,606299,646240,593428,643217,598265,657077,53.9,0.98,1.8,2,1,0,3,6,19,4,Changeup,0,2,2,0,4,0,4,0,Standard,Standard,123,-0.137,1.535
FF,7/25/2020,92.1,-1.28,5.75,"Stanton, Giancarlo",519317,607200,home_run,hit_into_play,,,,,5,Giancarlo Stanton homers (2) on a line drive to left center field.,R,R,R,WSH,NYY,X,,line_drive,3,0,2020,-0.54,0.86,0.17,2.7,,,,0,4,Top,44.55,9.72,,,435559,,,4.893889978,-134.0624294,-3.858059926,-7.521732412,26.84433023,-21.19976369,3.66,1.68,483,121.3,21,93.1,1661,6.7,630899,607200,435559,435062,516770,452678,607208,572191,645302,594809,53.78,0.933,1.573,2,1,0,3,6,27,4,4-Seam Fastball,3,1,1,3,2,3,2,3,Standard,Standard,202,-0.109,0.76
FF,9/29/2019,94.5,-1.76,6.01,"Cron, C.J.",543068,605347,home_run,hit_into_play,,,,,8,C.J. Cron homers (25) on a line drive to left field.   Miguel Sano scores.,R,R,R,KC,MIN,X,,line_drive,1,1,2019,-0.96,1.24,-0.2,1.99,,,593934,2,1,Top,31.92,63.36,,,664926,,,6.102235991,-137.3645905,-7.455132252,-13.25648496,28.61646672,-15.34163211,3.55,1.63,388,115.6,16,94.1,1875,6,565782,605347,664926,596144,593160,641531,600858,460086,625510,643436,54.54,0.847,1.127,2,1,0,3,6,4,3,4-Seam Fastball,0,0,0,0,2,0,2,0,Standard,Strategic,218,-0.19,1.88
