Season,Name,WAR,playerid
2015,Ben Paulsen,0.9,9741
2017,Gerardo Parra,0.8,8553
2018,Tony Wolters,0.8,11470
2001,Jose Ortiz,0.8,442
2001,Brent Mayne,0.8,614
2000,Todd Hollandsworth,0.8,433
2000,Butch Huskey,0.8,1006228
1993,Joe Girardi,0.8,280
2016,Tom Murphy,0.8,13499
1995,John Vander Wal,0.8,853
2006,Yorvit Torrealba,0.8,1135
2020,Charlie Blackmon,0.8,7859
1994,Eric Young,0.8,716
2000,Todd Walker,0.8,359
1996,Jeff Reed,0.7,1010770
2020,Raimel Tapia,0.7,14350
2008,Ryan Spilborghs,0.7,4521
2010,Ian Stewart,0.7,5950
2002,Jason Jennings,0.7,434
2012,Michael Cuddyer,0.7,1534
1998,Ellis Burks,0.7,372
2018,German Marquez,0.7,15038
2000,Jeff Frye,0.7,1004378
2017,Jonathan Lucroy,0.7,7870
2018,Chris Iannetta,0.7,8267
2005,Jorge Piedra,0.7,2211
2009,Dexter Fowler,0.7,4062
2013,Corey Dickerson,0.7,10762
2006,Kaz Matsui,0.7,1854
1994,John Vander Wal,0.6,853
2015,Corey Dickerson,0.6,10762
2017,Pat Valaika,0.6,14885
2019,Ryan McMahon,0.6,15112
2001,Mark Little,0.6,438
2021,Elias Diaz,0.6,11680
2005,Cory Sullivan,0.6,1940
2012,Josh Rutledge,0.6,11167
2008,Todd Helton,0.6,432
2007,Yorvit Torrealba,0.6,1135
2016,Daniel Descalso,0.6,8392
1999,Vinny Castilla,0.6,84
2012,Charlie Blackmon,0.6,7859
2003,Darren Oliver,0.6,206
2019,Sam Hilliard,0.6,17954
2003,Rene Reyes,0.6,1774
2021,Chris Owings,0.5,10030
2005,Ryan Shealy,0.5,4443
2007,Aaron Cook,0.5,1571
1996,Kevin Ritz,0.5,1010998
1999,Henry Blanco,0.5,81
2014,Rafael Ynoa,0.5,2832
1996,Walt Weiss,0.5,1013748
2021,Yonathan Daza,0.5,15794
2006,Ryan Spilborghs,0.5,4521
2004,Jason Jennings,0.5,434
2000,Brent Mayne,0.5,614
2015,Justin Morneau,0.5,1737
1998,Darryl Kile,0.5,1163
1993,Freddie Benavides,0.5,1000825
1994,Nelson Liriano,0.5,1007650
2021,Connor Joe,0.5,16572
1997,Neifi Perez,0.5,620
2008,Troy Tulowitzki,0.5,3531
2004,Clint Barmes,0.5,1830
2003,Kit Pellow,0.5,1576
2005,Mike Restovich,0.5,751
2008,Jeff Baker,0.4,2073
2013,Tyler Chatwood,0.4,4338
2003,Greg Norton,0.4,1388
2019,Peter Lambert,0.4,17969
2008,Chris Iannetta,0.4,8267
2009,Ubaldo Jimenez,0.4,3374
2002,Bobby Estalella,0.4,428
2014,Ben Paulsen,0.4,9741
2001,Brian Bohanon,0.4,1001126
1997,Dante Bichette,0.4,1000946
2020,Kevin Pillar,0.4,12434
2001,Terry Shumpert,0.4,449
2006,Eli Marrero,0.4,1166
2010,Jonathan Herrera,0.4,4182
2001,Sal Fasano,0.4,1205
2020,Joshua Fuentes,0.4,16885
2004,Shawn Estes,0.4,873
2012,DJ LeMahieu,0.4,9874
2019,German Marquez,0.4,15038
2004,Mark Sweeney,0.4,1408
1996,Roger Bailey,0.4,1000429
2000,Jeff Manto,0.4,1008083
2012,Marco Scutaro,0.4,1555
2001,Denny Neagle,0.3,441
2003,Jason Jennings,0.3,434
2000,Neifi Perez,0.3,620
2014,Jordan Lyles,0.3,7593
2006,Jason Smith,0.3,1227
2008,Aaron Cook,0.3,1571
2000,Ben Petrick,0.3,1471
2003,Bobby Estalella,0.3,428
2009,Paul Phillips,0.3,2032
1996,Steve Decker,0.3,1003129
2012,Drew Pomeranz,0.3,11426
2002,Denny Neagle,0.3,441
2014,DJ LeMahieu,0.3,9874
1993,Nelson Liriano,0.3,1007650
1996,Trenidad Hubbard,0.3,1036
1995,Joe Grahe,0.3,1004939
2007,Chris Iannetta,0.3,8267
2009,Jason Giambi,0.3,818
2015,Kyle Kendrick,0.3,6230
2012,Jhoulys Chacin,0.3,2608
2000,Brian Bohanon,0.3,1001126
1997,Bill Swift,0.3,1012788
2013,DJ LeMahieu,0.3,9874
1995,Jayhawk Owens,0.3,1009922
2001,Ron Gant,0.3,1032
1998,Derrick Gibson,0.3,1004666
2007,Seth Smith,0.3,7331
2003,Ronnie Belliard,0.3,677
2014,Jhoulys Chacin,0.3,2608
2016,Mark Reynolds,0.3,7619
2018,Garrett Hampson,0.2,19262
2004,JD Closser,0.2,2108
2021,German Marquez,0.2,15038
2007,Jamey Carroll,0.2,1591
2010,Jay Payton,0.2,890
2021,Sam Hilliard,0.2,17954
2010,Clint Barmes,0.2,1830
2001,Jason Jennings,0.2,434
1995,Bryan Hickerson,0.2,1005767
2004,Garrett Atkins,0.2,1790
2021,Garrett Hampson,0.2,19262
1993,Lance Painter,0.2,1675
2004,Jorge Piedra,0.2,2211
2003,Juan Uribe,0.2,454
2010,Brad Hawpe,0.2,1885
2012,Chris Nelson,0.2,8175
1994,Joe Girardi,0.2,280
2010,Greg Smith,0.2,3455
2011,Kevin Millwood,0.2,106
2002,Mark Little,0.2,438
2012,Alex White,0.2,10054
1993,Kent Bottenfield,0.2,1001226
2015,Chris Rusin,0.2,9895
2013,Jhoulys Chacin,0.2,2608
1994,Jayhawk Owens,0.2,1009922
2004,Todd Greene,0.2,1450
2014,Matt McBride,0.2,9373
2005,Choo Freeman,0.2,1872
2012,Tyler Chatwood,0.2,4338
2007,Ian Stewart,0.2,5950
1998,Greg Colbrunn,0.2,51
1995,Ellis Burks,0.2,372
2020,Sam Hilliard,0.2,17954
1999,Brian Bohanon,0.2,1001126
2001,John Thomson,0.2,453
1999,Curtis Leskanic,0.2,694
2016,Jordan Patterson,0.2,15119
1995,Mark Thompson,0.2,1013019
1999,Pedro Astacio,0.2,862
2015,Tyler Matzek,0.2,10058
2013,Jonathan Herrera,0.2,4182
2011,Esmil Rogers,0.2,6317
2007,Franklin Morales,0.2,5088
1995,Mike Munoz,0.2,1009328
2003,Gregg Zaun,0.1,580
2005,Eddy Garabito,0.1,7022
2011,Eric Young Jr.,0.1,7158
1995,Bill Swift,0.1,1012788
2012,Andrew Brown,0.1,3837
2006,Chris Iannetta,0.1,8267
2010,Melvin Mora,0.1,157
2009,Ryan Spilborghs,0.1,4521
2020,Ryan McMahon,0.1,15112
1995,Harvey Pulliam,0.1,1010567
2002,Shawn Chacon,0.1,424
2010,Matt Belisle,0.1,1837
1996,Mike Farmer,0.1,1003938
1998,Mike Lansing,0.1,1007334
2012,Rafael Ortega,0.1,10323
2018,Matt Holliday,0.1,1873
1996,Bryan Rekar,0.1,625
2018,Chris Rusin,0.1,9895
1995,Trenidad Hubbard,0.1,1036
2007,Jeff Francis,0.1,4684
2012,Jonathan Herrera,0.1,4182
2014,Tyler Matzek,0.1,10058
2000,Scott Karl,0.1,1006703
2014,Brandon Barnes,0.1,629
2011,Matt Belisle,0.1,1837
2021,Dom Nunez,0.1,15055
2006,Ramon Ramirez,0.1,7986
2000,Rich Croushore,0.1,1002819
2003,Jason Young,0.1,1707
2008,Greg Reynolds,0.1,5712
1998,Jamey Wright,0.1,715
2008,Garrett Atkins,0.1,1790
1997,Mark Thompson,0.1,1013019
2017,Chris Rusin,0.1,9895
2007,Ramon Ortiz,0.1,27
2003,Mandy Romero,0.1,1804
2003,Ben Petrick,0.1,1471
1997,Harvey Pulliam,0.1,1010567
2000,Jose Jimenez,0.1,435
1998,Angel Echevarria,0.1,1498
2009,Aaron Cook,0.1,1571
2015,Drew Stubbs,0.1,9328
2003,Shawn Chacon,0.1,424
2016,Tyler Chatwood,0.1,4338
1997,Brian Raabe,0.1,1010623
2009,Glendon Rusch,0.1,707
2002,Todd Hollandsworth,0.1,433
2006,Sun-Woo Kim,0.1,197
2000,Gabe White,0.1,360
2015,Michael McKenry,0.1,9628
2003,Cory Vance,0.1,1647
1996,John Vander Wal,0.1,853
