Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
6/17/1994,SDP,HOU,3,RF,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5
6/16/1994,SDP,CHC,3,RF,1,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.5
6/15/1994,SDP,CHC,3,RF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
6/14/1994,SDP,CHC,3,RF,1,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2
6/12/1994,SDP,@SFG,3,RF,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25
6/11/1994,SDP,@SFG,3,RF,1,5,5,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8
6/10/1994,SDP,@SFG,3,RF,1,4,5,2,1,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0.5
6/8/1994,SDP,@ATL,8,PH,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/7/1994,SDP,@ATL,3,RF,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.25
6/6/1994,SDP,@ATL,3,RF,1,4,5,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.25
6/5/1994,SDP,@FLA,3,RF,1,4,5,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0.5
6/4/1994,SDP,@FLA,3,RF,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6/3/1994,SDP,@FLA,3,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
6/1/1994,SDP,PIT,3,RF,1,2,5,1,0,0,0,1,1,1,2,2,0,1,0,0,0,0,0,0.5
5/31/1994,SDP,PIT,3,RF,1,2,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.5
5/30/1994,SDP,PIT,3,RF,1,4,4,2,0,1,0,1,2,5,0,0,0,0,0,0,1,0,0,0.5
5/29/1994,SDP,STL,3,RF,1,3,5,2,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0.667
5/28/1994,SDP,STL,3,RF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.333
5/27/1994,SDP,STL,3,RF,1,4,4,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5
5/26/1994,SDP,SFG,3,RF,1,4,4,2,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0.5
5/25/1994,SDP,SFG,3,RF,1,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
5/24/1994,SDP,SFG,3,RF,1,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
5/23/1994,SDP,SFG,3,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5/22/1994,SDP,@HOU,3,RF,1,3,5,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0.667
5/21/1994,SDP,@HOU,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
