pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/13/2021,78.9,-2.44,5.77,"Manoah, Alek",650490,Yandy Diaz,666201,Alek Manoah,,swinging_strike,,,,,14,Yandy Diaz strikes out swinging.,R,R,R,TOR,TB,S,,,1,0,2021,1.33,-0.5,0.13,0.84,,,,0,8,Top,,,,,672386,,,3.137794815,-114.7846898,-2.928536223,11.05153541,23.02487298,-36.17748848,3.47,1.59,,,,78.8,2151,6.4,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.09,,,,,,,,61,2,Slider,8,0,0,8,0,8,0,8,Standard,Standard,49,0,-0.049
SI,9/13/2021,91.9,-2.27,5.87,"Manoah, Alek",650490,Yandy Diaz,666201,Alek Manoah,,ball,,,,,11,Yandy Diaz strikes out swinging.,R,R,R,TOR,TB,B,,,0,0,2021,-1.01,0.97,-1.51,3.21,,,,0,8,Top,,,,,672386,,,4.138249597,-133.8114131,-3.019703736,-13.0510589,28.08376077,-20.10599051,3.47,1.59,,,,92.5,2148,6.5,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.97,,,,,,,,61,1,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,205,0,0.038
SI,9/13/2021,92.3,-2.21,5.84,"Manoah, Alek",596847,Ji-Man Choi,666201,Alek Manoah,field_out,hit_into_play,,,,,6,"Ji-Man Choi grounds out sharply, second baseman Marcus Semien to first baseman Vladimir Guerrero.",R,L,R,TOR,TB,X,4,ground_ball,1,0,2021,-1.11,0.66,0.3,2.57,,,,2,7,Top,136.94,139.46,,,672386,,,8.800482179,-134.0061331,-3.877890282,-15.31105543,31.60787546,-23.5175094,3.41,1.56,36,100.6,-2,92,2153,6.4,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.08,0.383,0.365,0,1,0,0,2,55,2,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,211,0.001,-0.121
CH,9/13/2021,86.7,-2.16,5.77,"Manoah, Alek",596847,Ji-Man Choi,666201,Alek Manoah,,ball,,,,,14,"Ji-Man Choi grounds out sharply, second baseman Marcus Semien to first baseman Vladimir Guerrero.",R,L,R,TOR,TB,B,,,0,0,2021,-1.2,0.85,1.12,0.81,,,,2,7,Top,,,,,672386,,,10.31936452,-125.599223,-7.352687674,-14.85870969,26.22656425,-21.7896566,3.41,1.56,,,,86.7,1970,6.6,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.88,,,,,,,,55,1,Changeup,8,0,0,8,0,8,0,8,Standard,Standard,234,0,0.016
SI,9/13/2021,93,-2.21,5.81,"Manoah, Alek",443558,Nelson Cruz,666201,Alek Manoah,field_out,hit_into_play,,,,,5,"Nelson Cruz grounds out sharply, shortstop Bo Bichette to first baseman Vladimir Guerrero.",R,R,R,TOR,TB,X,6,ground_ball,0,1,2021,-1.01,0.86,0.23,2.86,,,,1,7,Top,107.31,144.12,,,672386,,,8.461448049,-135.1954567,-3.678371471,-14.182172,29.49882237,-20.99167302,3.47,1.59,12,103.9,-13,93.2,2252,6.5,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.03,0.23,0.207,0,1,0,0,2,54,2,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,206,0,-0.135
SI,9/13/2021,93.4,-2.28,5.86,"Manoah, Alek",443558,Nelson Cruz,666201,Alek Manoah,,called_strike,,,,,1,"Nelson Cruz grounds out sharply, shortstop Bo Bichette to first baseman Vladimir Guerrero.",R,R,R,TOR,TB,S,,,0,0,2021,-0.97,0.59,-0.48,2.93,,,,1,7,Top,,,,,672386,,,6.769757329,-135.7957442,-3.051907475,-13.49319755,30.9842718,-24.43022959,3.47,1.59,,,,93.4,2116,6.4,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.06,,,,,,,,54,1,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,214,0,-0.027
CH,9/13/2021,85.7,-2.23,5.82,"Manoah, Alek",640457,Austin Meadows,666201,Alek Manoah,field_out,hit_into_play,,,,,8,Austin Meadows flies out to third baseman Breyvic Valera.,R,L,R,TOR,TB,X,5,fly_ball,1,1,2021,-0.83,1.06,0.25,1.98,,,,0,7,Top,88.55,116.83,,,672386,,,7.581866567,-124.535096,-4.909400723,-10.24503546,26.52698743,-20.38141626,3.49,1.6,227,88.5,55,85.8,1955,6.5,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,53.96,0.013,0.014,0,1,0,0,3,53,3,Changeup,8,0,0,8,0,8,0,8,Strategic,4th outfielder,235,0.002,-0.23
SL,9/13/2021,78.9,-2.3,5.81,"Manoah, Alek",640457,Austin Meadows,666201,Alek Manoah,,ball,,,,,14,Austin Meadows flies out to third baseman Breyvic Valera.,R,L,R,TOR,TB,B,,,0,1,2021,1.46,-0.3,0.57,1.28,,,,0,7,Top,,,,,672386,,,3.509408196,-114.8396618,-2.439749841,12.12372271,23.33564873,-34.53780384,3.49,1.6,,,,78.6,2217,6.3,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.24,,,,,,,,53,2,Slider,8,0,0,8,0,8,0,8,Strategic,4th outfielder,55,0,0.027
SL,9/13/2021,80.6,-2.47,5.77,"Manoah, Alek",640457,Austin Meadows,666201,Alek Manoah,,called_strike,,,,,5,Austin Meadows flies out to third baseman Breyvic Valera.,R,L,R,TOR,TB,S,,,0,0,2021,0.99,0.41,-0.24,2.2,,,,0,7,Top,,,,,672386,,,3.080758596,-117.4276589,-2.081664404,8.62451236,22.04673731,-28.22051559,3.49,1.6,,,,81,2154,6.5,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54,,,,,,,,53,1,Slider,8,0,0,8,0,8,0,8,Strategic,4th outfielder,64,0,-0.038
SL,9/13/2021,81.2,-2.43,5.71,"Manoah, Alek",621433,Brett Phillips,666201,Alek Manoah,strikeout,swinging_strike,,,,,14,Brett Phillips strikes out swinging.,R,L,R,TOR,TB,S,2,,1,2,2021,1.47,-0.4,0.51,1.16,,,,2,6,Top,,,,,672386,,,3.758100741,-118.0910965,-2.709029898,12.79134421,25.74515589,-35.50159432,3.37,1.53,,,,80.9,2377,6.4,632489,666201,672386,665489,543760,591971,666182,666971,545341,606192,54.06,,,0,1,0,0,,47,4,Slider,7,0,0,7,0,7,0,7,Infield shift,Standard,48,0.001,-0.073
