Name,Team,WAR,playerid
Domingo Ramos,TOR,-0.3,1010677
Jersey Bakely,- - -,-0.3,1000440
Creepy Crespi,STL,-0.3,1002762
Tug Arundel,- - -,-0.3,1000331
Jack Boyle,- - -,-0.3,1001289
Jim McCauley,- - -,-0.3,1008386
Fatty Briody,TRO,-0.3,1001440
Al Downing,NYY,-0.3,1003450
Luis Rosado,NYM,-0.3,1011193
John D'Acquisto,SFG,-0.3,1002919
Lee McElwee,PHA,-0.3,1008480
Dennys Reyes,- - -,-0.3,444
Juan Bell,BAL,-0.3,1000813
Billy Lee,SLB,-0.3,1007446
Charlie Dougherty,ALT,-0.3,1003428
Alex Sanabia,FLA,-0.3,5350
Jim Hegan,CLE,-0.3,1005582
Bob Davis,SDP,-0.3,1003036
Placido Polanco,STL,-0.3,1176
Derrick May,CHC,-0.3,1008293
Cesar Geronimo,HOU,-0.3,1004639
Stan Baumgartner,PHI,-0.3,1000690
Roy Walker,CLE,-0.3,1013531
Gene Corbett,PHI,-0.3,1002609
Josh Beckett,FLA,-0.3,510
Hod Eller,CIN,-0.3,1003729
Calvin Maduro,PHI,-0.3,151
Larry Eschen,PHA,-0.3,1003822
Lee Tunnell,PIT,-0.3,1013218
Pete Smith,ATL,-0.3,1012191
Darrell Woodard,OAK,-0.3,1014207
Chico Walker,BOS,-0.3,1013509
Tommy Bianco,MIL,-0.3,1000943
Brandon Wood,LAA,-0.3,6592
Jack Robinson,NYG,-0.3,1011069
Eddie Feinberg,PHI,-0.3,1003968
Gus Creely,STL,-0.3,1002756
Alan Ashby,CLE,-0.3,1000336
Josh Kroeger,ARI,-0.3,2205
John Malarkey,WAS,-0.3,1008011
Ben Revere,MIN,-0.3,4712
Ben Tincup,PHI,-0.3,1013073
Mike Torrez,STL,-0.3,1013134
Francisco Mejia,- - -,-0.3,16403
John Baumgartner,DET,-0.3,1000688
Scott Bullett,PIT,-0.3,1001644
Favel Wordsworth,ELI,-0.3,1014254
Joe Nolan,NYM,-0.3,1009617
Pid Purdy,CHW,-0.3,1010571
Jim Slaton,MIL,-0.3,1012054
Pedro Martinez,- - -,-0.3,200
Anderson Hernandez,NYM,-0.3,3366
Marty Honan,CHI,-0.3,1005991
Wally Post,CIN,-0.3,1010468
Eddie Williams,CLE,-0.3,1013996
Tim Flannery,SDP,-0.3,1004138
Ramon Martinez,LAD,-0.3,1008193
Mat Latos,SDP,-0.3,3815
Eddie Morgan,- - -,-0.3,1009177
George Grossart,BSN,-0.3,1005085
Hal Wagner,PHA,-0.3,1013482
Luis Quinones,OAK,-0.3,1010614
Luis Rivas,MIN,-0.3,753
Tom Carroll,CIN,-0.3,1002007
Harry Fritz,PHA,-0.3,1004368
Bibb Falk,CHW,-0.3,1003911
Mike Phillips,SFG,-0.3,1010296
Bill Traffley,CHI,-0.3,1013153
Arch McCarthy,DET,-0.3,1008365
Bob Rush,CHC,-0.3,1011307
Jimmy Archer,PIT,-0.3,1000290
Alex Wood,ATL,-0.3,13781
Arnie Portocarrero,PHA,-0.3,1010459
Terry Kennedy,STL,-0.3,1006850
Jerry McQuaig,PHA,-0.3,1008678
Mike Ivie,SDP,-0.3,1006284
Pete Noonan,PHA,-0.3,1009623
Eddie Haas,CHC,-0.3,1005171
Rich Puig,NYM,-0.3,1010563
Patsy Tebeau,CHI,-0.3,1012900
Alex Ferson,WAS,-0.3,1004017
Jack Rothrock,BOS,-0.3,1011244
Walter Sessi,STL,-0.3,1011757
Ed Kirkpatrick,LAA,-0.3,1006969
Dexter Fowler,COL,-0.3,4062
Emil Geiss,CHI,-0.3,1004606
Art Mahaffey,PHI,-0.3,1007979
Edwards Guzman,SFG,-0.3,1115
Vic Barnhart,PIT,-0.3,1000580
Ike McAuley,PIT,-0.3,1008333
Rob Bowen,MIN,-0.3,1817
Lee Walls,PIT,-0.3,1013563
Harold Reynolds,SEA,-0.3,1010870
Chuck Stevens,SLB,-0.3,1012507
John Gibbons,NYM,-0.3,1004659
Jack Calvo,WAS,-0.3,1001855
Eric Hosmer,KCR,-0.3,3516
Ned Crompton,- - -,-0.3,1002789
Mike LaCoss,CIN,-0.3,1007240
Josh Reddick,BOS,-0.3,3892
Frank Whitman,CHW,-0.3,1013905
Jimmy Wynn,HOU,-0.3,1014313
George Turbeville,PHA,-0.3,1013220
Kid Gleason,PHI,-0.3,1004770
Mark McGwire,OAK,-0.3,1008559
Jack Harshman,NYG,-0.3,1005435
Calvin Pickering,BAL,-0.3,208
Bunny Roser,BSN,-0.3,1011219
Matt Stark,TOR,-0.3,1012429
Bobby Richardson,NYY,-0.3,1010903
Todd Hollandsworth,LAD,-0.3,433
Paul Strand,BSN,-0.3,1012598
Harmon Killebrew,WAS,-0.3,1006905
Lloyd Brown,BRO,-0.3,1001540
Jocko Flynn,CHI,-0.3,1004186
Gene Alley,PIT,-0.3,1000160
Tacks Latimer,- - -,-0.3,1007376
Doc Bushong,- - -,-0.3,1001755
Billy Jo Robidoux,MIL,-0.3,1011051
Tom Knowlson,PHA,-0.3,1007060
Bert Adams,CLE,-0.3,1000042
Joe Moeller,LAD,-0.3,1009023
Tom Long,WAS,-0.3,1007740
Ody Abbott,STL,-0.3,1000015
Abe Wolstenholme,PHI,-0.3,1014199
Jean Segura,- - -,-0.3,5933
Herm Wehmeier,CIN,-0.3,1013729
Joe Weiss,CWH,-0.3,1013747
Shawn Abner,SDP,-0.3,1000024
Frank White,KCR,-0.3,1013872
Roy Smalley,CHC,-0.3,1012077
Alex George,KCA,-0.3,1004617
Tommy Dean,LAD,-0.3,1003111
Nelson Briles,STL,-0.3,1001432
Ross Moschitto,NYY,-0.3,1009237
Carden Gillenwater,STL,-0.3,1004709
Al Sauters,PHA,-0.3,1011464
Alex Metzler,CHC,-0.3,1008814
Marvin Lane,DET,-0.3,1007310
Monte Cross,BAL,-0.3,1002810
John Miller,NYY,-0.3,1008908
Harland Rowe,PHA,-0.3,1011254
Bob Hale,BAL,-0.3,1005219
General Stafford,BUF,-0.3,1012377
Brock Pemberton,NYM,-0.3,1010138
John Carbine,- - -,-0.3,1001934
Herb Adams,CHW,-0.3,1000053
Paul Dicken,CLE,-0.3,1003276
Dinny McNamara,BSN,-0.3,1008658
Gookie Dawkins,CIN,-0.3,316
Jason Marquis,ATL,-0.3,105
Johnny Antonelli,BSN,-0.3,1000277
Clarence Berger,PIT,-0.3,1000869
Bill Nicholson,PHA,-0.3,1009554
Howard Ehmke,- - -,-0.3,1003707
Tony Armas Jr.,MON,-0.3,761
Gilberto Reyes,LAD,-0.3,1010858
Bill Hughes,- - -,-0.3,1006149
Dan Warthen,MON,-0.3,1013644
Jim Keenan,- - -,-0.3,1006749
Glen Hobbie,CHC,-0.3,1005868
Greg Pirkl,SEA,-0.3,1010367
Cobe Jones,PIT,-0.3,1006543
Pete Meegan,- - -,-0.3,1008720
Norm Glockson,CIN,-0.3,1004786
Jake Aydelott,IND,-0.3,1000385
Al Luplow,CLE,-0.3,1007842
Kolten Wong,STL,-0.3,12532
Dan Collins,- - -,-0.3,1002448
Chuck Corgan,BRO,-0.3,1002627
Sam Weaver,- - -,-0.3,1013705
Bobby Henrich,CIN,-0.3,1005661
Babe Ellison,DET,-0.3,1003745
Ezra Lincoln,- - -,-0.3,1007611
George Grant,SLB,-0.3,1004948
Ron Kline,PIT,-0.3,1007004
Juan Pierre,COL,-0.3,443
Rex Barney,BRO,-0.3,1000571
Ned Bligh,BAL,-0.3,1001073
Del Mason,- - -,-0.3,1008216
John Buzhardt,CHC,-0.3,1001788
Clint Frazier,NYY,-0.3,15983
Pete Whisenant,BSN,-0.3,1013844
Luis Garcia,WSN,-0.3,20391
Otto Krueger,CLE,-0.3,1007177
Alex Gonzalez,FLA,-0.3,520
Mark Lemke,ATL,-0.3,1007516
Tony Perez,CIN,-0.3,1010188
Pepe Mangual,MON,-0.3,1008058
Duke Carmel,STL,-0.3,1001969
Mickey Kreitner,CHC,-0.3,1007153
Alan Bannister,PHI,-0.3,1000515
Howie Fitzgerald,CHC,-0.3,1004108
Chubby Dean,PHA,-0.3,1003105
Arthur Hauger,CLE,-0.3,1005497
Edgar Diaz,MIL,-0.3,1003264
Manny Sarmiento,CIN,-0.3,1011450
Clyde King,BRO,-0.3,1006925
Bob Owchinko,SDP,-0.3,1009914
Kal Segrist,NYY,-0.3,1011724
Darrell Evans,ATL,-0.3,1003864
Charlie Eden,CHI,-0.3,1003668
Glenn Vaughan,HOU,-0.3,1013383
Frank Brill,DET,-0.3,1001433
Virgil Cheeves,CHC,-0.3,1002174
Ray Webster,- - -,-0.3,1013720
Reid Brignac,TBR,-0.3,8380
Tom Gettinger,STL,-0.3,1004646
Stephen Strasburg,WSN,-0.3,10131
Jerry Snyder,WAS,-0.3,1012249
Joe Cicero,BOS,-0.3,1002234
Dick Fowler,PHA,-0.3,1004270
Charlie High,PHA,-0.3,1005796
Eddie Stack,PHI,-0.3,1012373
Toby Harrah,WAS,-0.3,1005384
Ron Jackson,CAL,-0.3,1006310
Bill Kemmer,LOU,-0.3,1006823
Javier Baez,CHC,-0.3,12979
Roy Crabb,- - -,-0.3,1002712
Nolan Ryan,NYM,-0.3,1011348
Dave Barbee,PHA,-0.3,1000527
Terry Whitfield,NYY,-0.3,1013899
Dave Bergman,NYY,-0.3,1000879
Frank Owen,DET,-0.3,1009916
Cliff Lee,PIT,-0.3,1007450
Darryl Motley,KCR,-0.3,1009260
Jerome Williams,SFG,-0.3,1137
Bob Hendley,MIL,-0.3,1005637
Merwin Jacobson,- - -,-0.3,1006324
Jeff Reed,MIN,-0.3,1010770
Jim Delahanty,CHI,-0.3,1003157
Joe McDonald,SLB,-0.3,1008466
Charlie James,STL,-0.3,1006346
Frank Gilmore,WAS,-0.3,1004732
Weldon Henley,PHA,-0.3,1005652
Jack Russell,BOS,-0.3,1011313
Tucupita Marcano,SDP,-0.3,22871
Dutch Lerchen,BOS,-0.3,1007549
Jim Pyburn,BAL,-0.3,1010579
Charlie Uhlir,CHW,-0.3,1013268
Derrell Griffith,LAD,-0.3,1005039
Michael Wacha,STL,-0.3,14078
Johnny Reder,BOS,-0.3,1010749
Billy Rogell,BOS,-0.3,1011128
Rick Cerone,CLE,-0.3,1002105
Bill Rariden,BSN,-0.3,1010701
Bill McCarthy,- - -,-0.3,1008366
Don Richmond,PHA,-0.3,1010926
Johnny Oulliber,CLE,-0.3,1009907
Greg Blosser,BOS,-0.3,1001086
Johnny Gill,CLE,-0.3,1004727
Ron Stillwell,WAS,-0.3,1012537
Mark Lemongello,HOU,-0.3,1007521
Leo Meyer,BRO,-0.3,1008831
Corey Patterson,CHC,-0.3,300
Tony Taylor,CHC,-0.3,1012892
Hank Severeid,CIN,-0.3,1011761
Joe Astroth,PHA,-0.3,1000345
Joe Murphy,- - -,-0.3,1009366
Renato Nunez,OAK,-0.3,14503
Orlando Ramirez,CAL,-0.4,1010672
Norm Bass,KCA,-0.4,1000647
Carlos Martinez,CHW,-0.4,1008158
Kermit Wahl,CIN,-0.4,1013491
Jerry Fry,MON,-0.4,1004379
Terry Humphrey,MON,-0.4,1006188
Sherten Apostel,TEX,-0.4,21794
Matt Tuiasosopo,SEA,-0.4,8272
Ed Clough,STL,-0.4,1002363
William Bergolla,CIN,-0.4,2152
Harley Boss,WAS,-0.4,1001217
Dan Long,BAL,-0.4,1007729
Pedro Munoz,MIN,-0.4,1009331
Rusty Peters,PHA,-0.4,1010239
Don Hasenmayer,PHI,-0.4,1005473
Juan Bernhardt,NYY,-0.4,1000892
Alex Escobar,NYM,-0.4,383
Dick Culler,PHA,-0.4,1002858
Herb Washington,OAK,-0.4,1013656
Bruno Block,WAS,-0.4,1001077
Sam Covington,- - -,-0.4,1002685
Tommy Hanson,ATL,-0.4,9129
Fred Siefke,BKG,-0.4,1011953
Nig Cuppy,CLE,-0.4,1002884
John Sowders,- - -,-0.4,1012296
Jamey Wright,COL,-0.4,715
Eddie Basinski,BRO,-0.4,1000639
Gus Mancuso,STL,-0.4,1008051
Andy Oyler,BAL,-0.4,1009928
Jose Hernandez,- - -,-0.4,688
Jose Vidro,MON,-0.4,802
Alonzo Powell,MON,-0.4,1010480
Hector Sanchez,SFG,-0.4,10289
Guillermo Quiroz,TOR,-0.4,7989
John Hoffman,HOU,-0.4,1005910
John Kennedy,WAS,-0.4,1006844
George Borchers,CHI,-0.4,1001196
Hooks Warner,PIT,-0.4,1013632
Red Munson,PHI,-0.4,1009333
Roy Witherup,- - -,-0.4,1014165
Johnny Wyrostek,PIT,-0.4,1014314
Charley O'Leary,DET,-0.4,1009765
Carson Kelly,STL,-0.4,13620
Luke Sewell,CLE,-0.4,1011767
Rabbit Nill,WAS,-0.4,1009600
Eddie Joost,CIN,-0.4,1006604
Jacob Turner,- - -,-0.4,10185
Craig Cacek,HOU,-0.4,1001808
Jerry Schoonmaker,WAS,-0.4,1011604
Nick Koback,PIT,-0.4,1007066
Eddie Waitkus,CHC,-0.4,1013493
Brian Downing,CHW,-0.4,1003451
Onix Concepcion,KCR,-0.4,1002495
Tony Brizzolara,ATL,-0.4,1001452
Jhoulys Chacin,COL,-0.4,2608
Alexander Nevin,ELI,-0.4,1009528
Jigger Statz,- - -,-0.4,1012439
Darryl Kile,HOU,-0.4,1163
Andy Coakley,PHA,-0.4,1002372
Gus Triandos,NYY,-0.4,1013182
Bill Greif,- - -,-0.4,1005027
Lew Richie,PHI,-0.4,1010923
Buddy Pritchard,PIT,-0.4,1010540
Rod Craig,SEA,-0.4,1002724
Joe Holden,PHI,-0.4,1005942
Skip Lockwood,- - -,-0.4,1007696
Piggy Ward,PHI,-0.4,1013622
Arquimedez Pozo,- - -,-0.4,1010508
Heinie Wagner,NYG,-0.4,1013483
Al Santorini,SDP,-0.4,1011444
Charley Hall,CIN,-0.4,1005239
Hugh Mulcahy,PHI,-0.4,1009289
Luis Rivera,MON,-0.4,1011003
John Mizerock,HOU,-0.4,1009016
Mike Richardt,TEX,-0.4,1010916
Joe Smith,NYY,-0.4,1012166
Jonathan Villar,HOU,-0.4,10071
Jack McGeachy,- - -,-0.4,1008505
Hernan Perez,DET,-0.4,5751
Chris Snelling,SEA,-0.4,1480
Fred Bailey,BSN,-0.4,1000422
Garland Braxton,BSN,-0.4,1001368
Doc Amole,- - -,-0.4,1000211
Juan Beniquez,BOS,-0.4,1000833
Eddie Taubensee,CLE,-0.4,1012845
Tony Giarratano,DET,-0.4,6270
George Twombly,CIN,-0.4,1013248
Bill Hart,PHA,-0.4,1005438
Dick Coffman,- - -,-0.4,1002391
Pedro Ramos,WAS,-0.4,1010681
George Rettger,STL,-0.4,1010847
Tony Pierce,KCA,-0.4,1010333
Billy Beane,NYM,-0.4,1000714
Bobo Osborne,DET,-0.4,1009867
Jorge Roque,STL,-0.4,1011190
Ducky Hemp,- - -,-0.4,1005622
Jim Roland,MIN,-0.4,1011156
Bryan Little,MON,-0.4,1007658
Dave Anderson,- - -,-0.4,1000222
Holly Hollingshead,- - -,-0.4,1005959
Ivan Murrell,HOU,-0.4,1009401
Pete Wood,- - -,-0.4,1014230
Lou Hardie,- - -,-0.4,1005345
Allan Russell,NYY,-0.4,1011310
Frank Betcher,STL,-0.4,1000927
Mike Goodfellow,- - -,-0.4,1004854
Bill Doak,STL,-0.4,1003336
Tom Murphy,CAL,-0.4,1009376
Bill Carrigan,BOS,-0.4,1001991
Jerry Nops,- - -,-0.4,1009624
Wilbur Wood,- - -,-0.4,1014248
Dave Oldfield,- - -,-0.4,1009760
Dutch Sterrett,NYH,-0.4,1012505
Chet Nichols,BSN,-0.4,1009557
Gary DiSarcina,CAL,-0.4,1003322
Bobby Bragan,PHI,-0.4,1001331
Harry Redmond,BRO,-0.4,1010755
Dan Briggs,CAL,-0.4,1001426
Johnny Cueto,CIN,-0.4,6893
Johnny Podgajny,PHI,-0.4,1010405
Guy Tutwiler,DET,-0.4,1013240
Pol Perritt,STL,-0.4,1010206
Marc Newfield,- - -,-0.4,1009533
Noodles Hahn,CIN,-0.4,1005205
Leo Sutherland,CHW,-0.4,1012740
Bruce Ruffin,PHI,-0.4,1011294
Jim Hutto,PHI,-0.4,1006244
Tony Cloninger,MIL,-0.4,1002359
Jim Lemon,CLE,-0.4,1007520
Bernie Friberg,CHC,-0.4,1004347
Bob Porter,ATL,-0.4,1010446
Ken Crawford,BAL,-0.4,1002744
Dick Drott,CHC,-0.4,1003511
Arlie Latham,BUF,-0.4,1007371
Pete Broberg,WAS,-0.4,1001454
Pete Conway,- - -,-0.4,1002557
John Happenny,CHW,-0.4,1005337
Ryan Sweeney,CHW,-0.4,6352
Joe Ross,WSN,-0.4,12972
Miguel Mejia,STL,-0.4,1008739
Ben Sankey,PIT,-0.4,1011436
Fritz Von Kolnitz,CIN,-0.4,1013453
Lev Shreve,- - -,-0.4,1011938
Earl Moore,CLE,-0.4,1009103
Dan Burke,- - -,-0.4,1001677
Tito Navarro,NYM,-0.4,1009467
Bill George,NYG,-0.4,1004618
Daryl Boston,CHW,-0.4,1001219
Johnny Babich,BRO,-0.4,1000396
Curt Simmons,PHI,-0.4,1011980
John DeMerit,MIL,-0.4,1003191
Rick Ankiel,STL,-0.4,1142
Whitey Ritterson,PHN,-0.4,1010995
Neb Stewart,PHI,-0.4,1012527
Howard Lohr,CIN,-0.4,1007707
Dale Berra,PIT,-0.4,1000896
Rudy Hernandez,CHW,-0.4,1005712
Brownie Foreman,- - -,-0.4,1004228
Bill Brenzel,PIT,-0.4,1001395
Stan Williams,LAD,-0.4,1014039
Joe Sommer,CIN,-0.4,1012275
Ted Jourdan,CHW,-0.4,1006631
Chippy McGarr,CUN,-0.4,1008502
Jim McCormick,- - -,-0.4,1008416
Denny McLain,DET,-0.4,1008603
Harry Decker,- - -,-0.4,1003126
Charlie Heard,PIT,-0.4,1005549
Paddy Driscoll,CHC,-0.4,1003507
Ryan Dempster,FLA,-0.4,517
Frank Martin,- - -,-0.4,1008165
Whitey Wilshere,PHA,-0.4,1014058
Mel Harder,CLE,-0.4,1005339
Balor Moore,MON,-0.4,1009090
Edgar (EE) Smith,- - -,-0.4,1012129
Cookie Lavagetto,PIT,-0.4,1007386
Will Foley,- - -,-0.4,1004201
Ike Pearson,PHI,-0.4,1010110
Jimmy Peoples,- - -,-0.4,1010166
Charlie Mason,- - -,-0.4,1008215
Jim Gardner,PIT,-0.4,1004527
Bobby Burke,WAS,-0.4,1001676
Art Thomason,CLE,-0.4,1012963
Cy Wright,CHW,-0.4,1014273
Jim Brillheart,WAS,-0.4,1001434
Desi Relaford,PHI,-0.4,1096
Cal Broughton,- - -,-0.4,1001483
Frank Shellenback,CHW,-0.5,1011857
Joe Oeschger,PHI,-0.5,1009738
Matt Cain,SFG,-0.5,4732
Ruben Amaro,STL,-0.5,1000206
Sonny Senerchia,PIT,-0.5,1011745
Steve Barber,BAL,-0.5,1000530
Woody Woodward,MIL,-0.5,1014250
Ike Eichrodt,CLE,-0.5,1003713
Jesus Sanchez,MIA,-0.5,19913
Nig Perrine,WAS,-0.5,1010205
Ed Durham,BOS,-0.5,1003589
Karl Rhodes,HOU,-0.5,1010886
Art James,DET,-0.5,1006340
Cap Peterson,SFG,-0.5,1010224
Ed Abbaticchio,PHI,-0.5,1000005
Emil Brown,PIT,-0.5,1197
Mike Fornieles,- - -,-0.5,1004232
Eddie Leon,CLE,-0.5,1007539
Leury Garcia,- - -,-0.5,5913
George Moolic,CHI,-0.5,1009081
Martin Prado,ATL,-0.5,3312
Torii Hunter,MIN,-0.5,731
Mike Drissel,STL,-0.5,1003508
Billy Loes,BRO,-0.5,1007699
Tom Connolly,WAS,-0.5,1002538
Sam McDowell,CLE,-0.5,1008476
Paddy Siglin,PIT,-0.5,1011962
Johnnie LeMaster,SFG,-0.5,1007513
Lastings Milledge,NYM,-0.5,6441
Paul Smith,PIT,-0.5,1012189
Bob Peterson,BOS,-0.5,1010222
Socks Seibold,PHA,-0.5,1011728
Clyde Vollmer,CIN,-0.5,1013449
Jake Flowers,STL,-0.5,1004175
Carl Sawatski,CHC,-0.5,1011475
Carl Erskine,BRO,-0.5,1003816
Lou Say,- - -,-0.5,1011484
Jack Wallaesa,PHA,-0.5,1013549
Von McDaniel,STL,-0.5,1008443
Bert Cunningham,- - -,-0.5,1002876
Tiny Graham,CIN,-0.5,1004937
Vic Willis,BSN,-0.5,1014042
Weldon Wyckoff,PHA,-0.5,1014305
Dave LaPoint,STL,-0.5,1007338
Elmer Steele,BOS,-0.5,1012451
Linc Blakely,CIN,-0.5,1001037
Tom Winsett,BOS,-0.5,1014141
George Dumont,WAS,-0.5,1003547
Ismael Valdez,LAD,-0.5,1283
Fred Roat,PIT,-0.5,1011018
Charlie Pechous,- - -,-0.5,1010114
Gorman Thomas,MIL,-0.5,1012979
Larry McLean,- - -,-0.5,1008622
Pete LaCock,CHC,-0.5,1007238
Fausto Cruz,OAK,-0.5,1002838
Junior Noboa,CLE,-0.5,1009612
Gary Scott,CHC,-0.5,1011680
Chris Short,PHI,-0.5,1011931
Ray Morgan,WAS,-0.5,1009182
Bill Pertica,- - -,-0.5,1010217
Shannon Stewart,TOR,-0.5,1322
Lee Bales,- - -,-0.5,1000489
Pie Traynor,PIT,-0.5,1013165
Carlos Tocci,TEX,-0.5,14558
Dennis Blair,MON,-0.5,1001029
Hector Torres,HOU,-0.5,1013132
Hal Newhouser,DET,-0.5,1009535
Art Croft,- - -,-0.5,1002783
Frank Emmer,CIN,-0.5,1003770
Joe Daly,- - -,-0.5,1002955
Steve Boros,DET,-0.5,1001207
Pete Donnelly,FTW,-0.5,1003387
Art Hagan,- - -,-0.5,1005195
Red Ames,NYG,-0.5,1000210
Chris Gwynn,LAD,-0.5,1005165
Mike Morrison,CLE,-0.5,1009221
Greg Goossen,NYM,-0.5,1004870
Bill Butler,KCR,-0.5,1001771
Mack Jones,MIL,-0.5,1006574
Bill Finley,NYG,-0.5,1004055
Mal Eason,CHI,-0.5,1003636
Paul Dean,STL,-0.5,1003110
Ricky Seilheimer,CHW,-0.5,1011729
Deion Sanders,NYY,-0.5,1011415
Mike Davis,OAK,-0.5,1003070
Al Myers,- - -,-0.5,1009416
Luis Campusano,SDP,-0.5,22217
Jake Jones,CHW,-0.5,1006565
Bill Day,- - -,-0.5,1003094
Rich Murray,SFG,-0.5,1009398
Tony Madigan,WAS,-0.5,1007952
Gabby Street,- - -,-0.5,1012607
Mark Creegan,WST,-0.5,1002755
Jeoff Long,- - -,-0.5,1007732
Bob Watson,HOU,-0.5,1013677
Joe Doyle,WSN,-0.5,1003465
Andy Hansen,NYG,-0.5,1005323
Abbie Johnson,LOU,-0.5,1006417
Jose Rondon,SDP,-0.5,14140
Butch Huskey,NYM,-0.5,1006228
Ken Henderson,SFG,-0.5,1005634
Tom Sheehan,PHA,-0.5,1011848
George Hemming,- - -,-0.5,1005620
Tom Underwood,PHI,-0.5,1013281
Mudcat Grant,CLE,-0.5,1004952
Biff Pocoroba,ATL,-0.5,1010403
Hank Thormahlen,NYY,-0.5,1013035
Casey Kotchman,ANA,-0.5,1930
John Richmond,PHN,-0.5,1010927
Lefty Gomez,NYY,-0.5,1004821
Dusty Miller,- - -,-0.5,1008887
Gil Whitehouse,- - -,-0.5,1013875
Brock Davis,HOU,-0.5,1003038
Gil English,NYG,-0.5,1003784
Christian Arroyo,SFG,-0.5,16434
Lee Stevens,CAL,-0.5,796
Chappie Geygan,BOS,-0.5,1004651
Jarvis Tatum,CAL,-0.5,1012841
Vida Blue,OAK,-0.5,1001094
Lou Camilli,CLE,-0.5,1001862
Tom Walker,- - -,-0.5,1013535
Will Sawyer,CLE,-0.5,1011478
Candy Maldonado,LAD,-0.5,1008015
Hank Edwards,CLE,-0.5,1003687
Carlos Delgado,TOR,-0.5,1297
Gary Gentry,NYM,-0.5,1004614
Stan Sperry,PHI,-0.5,1012336
Jim Delsing,CHW,-0.5,1003183
Bernie Williams,SFG,-0.5,1013974
Claude Davidson,- - -,-0.5,1003025
Cal Koonce,CHC,-0.5,1007101
Don Mason,SFG,-0.5,1008217
Duane Singleton,MIL,-0.5,1012008
Ed Sicking,- - -,-0.6,1011946
Ross Grimsley,CIN,-0.6,1005071
Bill Monbouquette,BOS,-0.6,1009048
Si Rosenthal,BOS,-0.6,1011214
Billy Sullivan,CHW,-0.6,1012684
Fred Pfeffer,TRO,-0.6,1010263
Leo Foster,ATL,-0.6,1004254
Joe Engel,WAS,-0.6,1003777
Zack Taylor,BRO,-0.6,1012896
Wib Smith,SLB,-0.6,1012215
Tommy Hughes,PHI,-0.6,1006166
Biff Schaller,DET,-0.6,1011515
Dan Spillner,SDP,-0.6,1012342
Jose  Garcia,CIN,-0.6,23378
Dave Anderson,LAD,-0.6,1000223
Tom Grieve,WAS,-0.6,1005035
Wilson Betemit,ATL,-0.6,1861
Michael Brantley,CLE,-0.6,4106
Dominic Smith,NYM,-0.6,15653
Brandon Phillips,CLE,-0.6,791
Amos Rusie,- - -,-0.6,1011308
Ken Oberkfell,STL,-0.6,1009677
Dick Lane,CHW,-0.6,1007307
Lou Clinton,BOS,-0.6,1002358
Jimmy Hallinan,FTW,-0.6,1005248
Frank Brazill,PHA,-0.6,1001370
Ed Hanyzewski,CHC,-0.6,1005336
George Keefe,WAS,-0.6,1006741
Dee Brown,KCR,-0.6,593
Paul Konerko,- - -,-0.6,242
Bill Lillard,PHA,-0.6,1007604
Rickie Weeks Jr.,MIL,-0.6,1849
Tom Poorman,- - -,-0.6,1010438
Joe Gantenbein,PHA,-0.6,1004482
Zip Collins,PIT,-0.6,1002468
Larry Dierker,HOU,-0.6,1003288
Hy Myers,BRO,-0.6,1009423
Todd Hundley,NYM,-0.6,284
Dave Duncan,KCA,-0.6,1003552
Chris Gomez,DET,-0.6,1208
Buck Ross,PHA,-0.6,1011224
Buck Martinez,KCR,-0.6,1008156
Bill Hawke,STL,-0.6,1005511
Ed Morris,- - -,-0.6,1009204
Bob Robertson,PIT,-0.6,1011024
Freddy Garcia,PIT,-0.6,1004500
Milt Ramirez,STL,-0.6,1010671
Willie Aikens,CAL,-0.6,1000090
Dave Wills,LOU,-0.6,1014050
Harry Harper,WAS,-0.6,1005379
Eric McNair,PHA,-0.6,1008654
Shawn Green,TOR,-0.6,651
Hal Wiltse,BOS,-0.6,1014115
Charley Smith,LAD,-0.6,1012112
Jake Boultes,BSN,-0.6,1001236
Ted Wilborn,- - -,-0.6,1013938
Wally Bunker,BAL,-0.6,1001652
Ike Samuels,STL,-0.6,1011402
Tommie Agee,- - -,-0.6,1000080
Fernando Martinez,NYM,-0.6,9210
Percy Jones,CHC,-0.6,1006581
Beals Becker,- - -,-0.6,1000740
Dick Gossett,NYY,-0.6,1004895
Ed Olivares,STL,-0.6,1009769
Emmett Rogers,TOL,-0.6,1011130
Sam Nichol,- - -,-0.6,1009570
Jim Nash,KCA,-0.6,1009458
Tyler Wade,NYY,-0.6,15730
Jerry Manuel,DET,-0.6,1008086
Jack Powell,CLE,-0.6,1010487
Herb Score,CLE,-0.6,1011671
Billy Butler,KCR,-0.6,7399
Rodney Scott,- - -,-0.6,1011693
Dave Adlesh,HOU,-0.6,1000078
Aaron Ward,NYY,-0.6,1013602
Rob Andrews,HOU,-0.6,1000260
Cesar Izturis,- - -,-0.6,656
Brendan Rodgers,COL,-0.6,17907
Dan Dugdale,KCC,-0.6,1003539
Leron Lee,STL,-0.6,1007458
Jim Miller,NYG,-0.6,1008904
Jorge Velandia,SDP,-0.6,900
Johnny Kucks,NYY,-0.6,1007196
Bill Donovan,- - -,-0.6,1003393
Liu Rodriguez,CHW,-0.6,1011109
Gary Sutherland,PHI,-0.6,1012739
Jack Hayden,PHA,-0.6,1005521
Cliff Floyd,MON,-0.6,518
Randy Tate,NYM,-0.6,1012838
