Season,Team,Age,WAR
1987,TOR,24,1.4
1988,TOR,25,-0.9
1989,TOR,26,1.8
1990,TOR,27,3.8
1991,TOR,28,2.5
1992,TOR,29,0.4
1993,DET,30,3.0
1994,DET,31,2.3
1995,2 Tms,32,3.7
1996,BAL,33,3.4
1997,NYY,34,4.3
1998,NYY,35,4.4
1999,TOR,36,3.9
2000,TOR,37,6.2
2001,CHW,38,1.7
2002,NYY,39,4.5
2003,NYY,40,3.8
2004,SDP,41,3.1
2005,BOS,42,3.0
2006,2 Tms,43,0.9
2007,2 Tms,44,1.0
