Name,WAR,playerid
Karl Rhodes,-0.2,1010886
Bryce Brentz,-0.2,10607
Tom Matchick,-0.2,1008233
Nate Spears,-0.2,6026
Pinky Woods,-0.2,1014242
Earl Moseley,-0.2,1009239
Ben Hunt,-0.2,1006192
Bill Butland,-0.2,1001767
Kevin Cash,-0.2,1593
Bob Kline,-0.2,1007002
Skinny Graham,-0.2,1004936
Ed Carroll,-0.2,1002001
Pat Creeden,-0.2,1002754
Joe Harris,-0.2,1005420
Del Lundgren,-0.3,1007837
Ivan De Jesus,-0.3,9886
Randy Heflin,-0.3,1005581
Fred Anderson,-0.3,1000226
Angel Santos,-0.3,214
Conor Jackson,-0.3,5997
Bill Lamar,-0.3,1007271
Mike O'Berry,-0.3,1009680
Gustavo Molina,-0.3,2861
Harry Gleason,-0.3,1004767
Hob Hiller,-0.3,1005816
Mike McNally,-0.3,1008656
Hal Kolstad,-0.3,1007090
Bob Didier,-0.3,1003284
Ralph Glaze,-0.3,1004762
Andy Gilbert,-0.3,1004684
Bryan Holaday,-0.3,11287
Turkey Gross,-0.3,1005090
Bob Heffner,-0.3,1005578
Tom Doran,-0.3,1003408
James Loney,-0.3,4556
Mark Whiten,-0.3,1013886
Eduardo Rodriguez,-0.3,13164
Hugh Bedient,-0.3,1000764
Vic Johnson,-0.3,1006510
Tom Wright,-0.3,1014297
Bill Moore,-0.3,1009092
Ron Jackson,-0.3,1006309
Jose Peraza,-0.3,13593
Ollie Marquardt,-0.3,1008123
Rip Williams,-0.3,1014033
Bill Selby,-0.3,405
Joe Lucey,-0.3,1007810
Kelly Shoppach,-0.3,3867
Hack Eibel,-0.3,1003710
Fred Mitchell,-0.3,1009001
Lou Criger,-0.3,1002767
Eric Hinske,-0.3,1305
George Loepp,-0.3,1007698
Mike Derrick,-0.3,1003223
Larry Boerner,-0.3,1001117
Wilbur Wood,-0.3,1014248
Stan Papi,-0.3,1009986
Elmer Steele,-0.3,1012451
Ray Jarvis,-0.3,1006364
Joe Cicero,-0.3,1002234
Lars Anderson,-0.3,9018
Emerson Dickman,-0.3,1003277
Adam Stern,-0.3,3568
Dutch Lerchen,-0.3,1007549
Ken Aspromonte,-0.3,1000342
Johnny Reder,-0.3,1010749
Bill O'Neill,-0.4,1009804
Chick Maynard,-0.4,1008306
Marlan Coughtry,-0.4,1002671
Steve Dillard,-0.4,1003300
Dave Coleman,-0.4,1002420
Danny Valencia,-0.4,6364
Sammy Vick,-0.4,1013424
Harry Harper,-0.4,1005379
Andy Sheets,-0.4,1226
Deven Marrero,-0.4,13325
Frank Gilhooley,-0.4,1004705
John Flaherty,-0.4,1206
Rip Collins,-0.4,1002463
Tracy Stallard,-0.4,1012392
Bob Zupcic,-0.4,1014463
Art McGovern,-0.4,1008537
Jack Wilson,-0.4,1014087
Gary Waslewski,-0.4,1013661
James Lofton,-0.4,1007700
Gordie Hinkle,-0.4,1005846
Bill Mundy,-0.4,1009319
Terry Shumpert,-0.4,449
Ivy Andrews,-0.4,1000253
Jack Lamabe,-0.4,1007266
Sam Dente,-0.4,1003214
Ernie Andres,-0.4,1000250
George Murray,-0.4,1009387
Arquimedez Pozo,-0.4,1010508
Greg Blosser,-0.4,1001086
Leo Kiely,-0.4,1006895
John Curtis,-0.4,1002905
Red Nonnenkamp,-0.4,1009622
Bobby Reeves,-0.4,1010780
Marco Hernandez,-0.4,13154
Jon Lester,-0.4,4930
Dick Radatz,-0.4,1010630
Lefty O'Doul,-0.4,1009734
Bill Wight,-0.4,1013933
Les Moss,-0.5,1009251
Pat Dodson,-0.5,1003353
Don Schwall,-0.5,1011657
Luis Ortiz,-0.5,1009862
Lee Stange,-0.5,1012400
Charlie Jones,-0.5,1006537
Gene Rye,-0.5,1011353
Paul Zahniser,-0.5,1014411
Pee-Wee Wanninger,-0.5,1013599
Ken Wood,-0.5,1014227
Tom Satriano,-0.5,1011454
Babe Barna,-0.5,1000556
Dom Dallessandro,-0.5,1002947
Mike Fiore,-0.5,1004062
Carroll Hardy,-0.5,1005349
Tom McBride,-0.5,1008346
Ryan Kalish,-0.5,6962
Jose Malave,-0.5,1008012
Si Rosenthal,-0.6,1011214
Ben Oglivie,-0.6,1009746
Julio Valdez,-0.6,1013312
Jesus Tavarez,-0.6,1012849
Esteban Beltre,-0.6,1000823
Clem Hausmann,-0.6,1005503
Casper Asbjornson,-0.6,1000334
Tom Jenkins,-0.6,1006392
Gordon Rhodes,-0.6,1010885
Jack Brohamer,-0.6,1001465
Babe Dahlgren,-0.6,1002925
Bob Heise,-0.6,1005599
Tex Hughson,-0.6,1006169
Stan Spence,-0.6,1012328
Chappie Geygan,-0.6,1004651
Yamaico Navarro,-0.6,5665
Cesar Crespo,-0.6,1024
Willie Harris,-0.6,236
Bob Peterson,-0.6,1010222
Marv Olson,-0.7,1009795
Tom Winsett,-0.7,1014141
La Schelle Tarver,-0.7,1012831
Eddie Pellagrini,-0.7,1010133
Jim Bagby,-0.7,1000412
Dave Morehead,-0.7,1009156
Waite Hoyt,-0.7,1006115
George Dickey,-0.7,1003274
Paul Campbell,-0.7,1001889
Manny Alexander,-0.8,1954
Cy Morgan,-0.8,1009174
Tony Horton,-0.8,1006037
Wes Chamberlain,-0.8,1002126
Johnnie Heving,-0.8,1005757
Danny Sheaffer,-0.8,1011829
Cleo Carlyle,-0.8,1001965
Russ Gibson,-0.8,1004673
Bob Weiland,-0.8,1013735
Bill Piercy,-0.8,1010325
Greg Litton,-0.8,1007668
Dick Ellsworth,-0.8,1003754
Luis Alvarado,-0.8,1000196
Hal Wiltse,-0.8,1014115
Jeremy Hermida,-0.8,7208
Wally Rehg,-0.8,1010787
Al Stokes,-0.8,1012557
Chick Shorten,-0.9,1011930
John Godwin,-0.9,1004795
Chick Fewster,-0.9,1004020
Howie Fitzgerald,-0.9,1004108
Denny Galehouse,-0.9,1004443
Fabian Gaffke,-0.9,1004424
George Schmees,-0.9,1011574
Billy Consolo,-0.9,1002545
Bob Seeds,-0.9,1011716
Al Van Camp,-0.9,1013341
Billy Rogell,-0.9,1011128
Haywood Sullivan,-0.9,1012693
Wilton Veras,-0.9,1013405
Joe Dobson,-0.9,1003344
Ramon Vazquez,-1.0,1058
Gene Bailey,-1.0,1000423
Johnny Mitchell,-1.0,1009002
Ray Culp,-1.0,1002869
Dick Reichle,-1.0,1010789
Marc Sullivan,-1.0,1012706
Allen Craig,-1.1,3433
Charlie Armbruster,-1.1,1000306
Mike Ryan,-1.1,1011347
Jack Russell,-1.1,1011313
Red Morgan,-1.1,1009183
Charlie Maxwell,-1.1,1008287
Norm McMillan,-1.1,1008642
Sam Travis,-1.1,16263
George Smith,-1.2,1012146
Arlie Tarbert,-1.2,1012828
Charlie Wagner,-1.2,1013480
Ryan Lavarnway,-1.3,8879
Denny Williams,-1.3,1013988
Allan Russell,-1.3,1011310
Bill Dineen,-1.3,1003317
Ernie Shore,-1.3,1011927
Jose Tartabull,-1.3,1012830
George Stumpf,-1.4,1012650
Garry Hancock,-1.4,1005294
Pablo Sandoval,-1.4,5409
Danny MacFayden,-1.4,1007904
Don Gile,-1.4,1004701
Ed Durham,-1.4,1003589
Ike Delock,-1.4,1003179
Johnny Watwood,-1.5,1013686
Jack Hoey,-1.9,1005897
Dud Lee,-1.9,1007454
Roxy Walters,-2.0,1013590
Frank Sullivan,-2.0,1012691
Ed Romero,-2.0,1011171
Mel Almada,-2.1,1000172
Alex Ferguson,-2.3,1003984
Dalton Jones,-2.6,1006546
Karl Olson,-2.6,1009794
Ed Connolly,-2.6,1002525
Rabbit Warstler,-2.7,1013643
Bill Monbouquette,-2.7,1009048
Pinky Pittenger,-3.0,1010375
Jackie Gutierrez,-3.2,1005156
