Season,Name,WAR,playerid
2010,John Jaso,1.0,5887
2009,Akinori Iwamura,1.0,7781
2002,Andy Sheets,0.9,1226
2002,Ben Grieve,0.9,1209
2007,Jorge Velandia,0.9,900
2004,Jorge Cantu,0.9,2521
2009,Gabe Kapler,0.9,1256
2013,Sean Rodriguez,0.9,6589
1998,Bubba Trammell,0.9,1057
1999,Kevin Stocker,0.9,1012549
2017,Mallex Smith,0.9,13608
2014,James Loney,0.9,4556
2016,Steven Souza Jr.,0.9,5667
2018,Brandon Lowe,0.9,18882
2000,Steve Cox,0.9,1200
2003,Jared Sandberg,0.8,1224
2020,Randy Arozarena,0.8,19290
2000,Jose Canseco,0.8,1001918
2020,Yandy Diaz,0.8,16578
2003,Antonio Perez,0.8,1708
2016,Brandon Guyer,0.8,2636
2012,Ryan Roberts,0.7,5653
2002,John Flaherty,0.7,1206
2001,Brent Abernathy,0.7,1192
2002,Carl Crawford,0.7,1201
2018,Jake Bauers,0.7,15194
2015,John Jaso,0.7,5887
2016,Curt Casali,0.7,12510
2012,Elliot Johnson,0.7,4751
2019,Mike Brosseau,0.7,19683
2003,Rey Ordonez,0.6,889
2000,Ozzie Guillen,0.6,1005125
2018,Denard Span,0.6,8347
2007,Jonny Gomes,0.6,1845
2012,Carlos Pena,0.6,934
2012,Chris Gimenez,0.6,7324
2020,Manuel Margot,0.6,14712
2009,Gabe Gross,0.6,2184
2018,Adeiny Hechavarria,0.6,10459
2019,Joey Wendle,0.6,13853
2011,Kelly Shoppach,0.6,3867
2008,Cliff Floyd,0.6,518
2015,J.P. Arencibia,0.6,697
2016,Logan Morrison,0.5,9205
2001,Steve Cox,0.5,1200
2005,Eduardo Perez,0.5,1409
2014,David DeJesus,0.5,1825
2006,Joey Gathright,0.5,3913
2000,Kevin Stocker,0.5,1012549
2019,Nate Lowe,0.5,19566
2012,Sam Fuld,0.5,8254
2019,Eric Sogard,0.5,7927
2006,Russell Branyan,0.5,370
2002,Toby Hall,0.5,1210
1999,Miguel Cairo,0.5,1412
2012,Jose Lobaton,0.5,4243
2011,Elliot Johnson,0.4,4751
2014,Jose Molina,0.4,25
2014,Yunel Escobar,0.4,4191
2007,Ty Wigginton,0.4,1491
2000,Gerald Williams,0.4,1395
2011,Justin Ruggiano,0.4,7620
2013,Luke Scott,0.4,3469
2010,Kelly Shoppach,0.4,3867
2000,Jose Guillen,0.4,57
2003,Chris Truby,0.4,799
1998,Mike DiFelice,0.4,1151
2015,David DeJesus,0.4,1825
2001,Jose Guillen,0.4,57
2003,Jason Tyner,0.3,1232
1999,Randy Winn,0.3,1235
2017,Shane Peterson,0.3,7423
2008,Rocco Baldelli,0.3,1656
2001,Randy Winn,0.3,1235
2011,Brandon Guyer,0.3,2636
2017,Peter Bourjos,0.3,2578
2015,Joey Butler,0.3,7799
2007,Raul Casanova,0.3,680
2020,Yoshi Tsutsugo,0.3,27459
2008,Mike DiFelice,0.3,1151
2019,Mike Zunino,0.3,13265
2009,Willy Aybar,0.3,2192
2016,Luke Maile,0.3,13355
2009,Reid Brignac,0.3,8380
2004,Toby Hall,0.3,1210
2000,Esteban Yan,0.3,1236
2008,Shawn Riggans,0.3,3393
2015,Desmond Jennings,0.3,1965
2017,Wilson Ramos,0.3,1433
2020,Ji-Man Choi,0.3,5452
1998,Randy Winn,0.3,1235
2019,Guillermo Heredia,0.3,18721
2018,Brad Miller,0.3,12775
1998,Dave Martinez,0.3,1008160
2013,David DeJesus,0.3,1825
2017,Curt Casali,0.3,12510
2005,Chris Singleton,0.3,170
2018,Andrew Velazquez,0.3,14196
2014,Sean Rodriguez,0.2,6589
2012,Sean Rodriguez,0.2,6589
2013,Ryan Roberts,0.2,5653
2008,Andy Sonnanstine,0.2,7667
2015,Richie Shaffer,0.2,13271
2000,Tony Graffanino,0.2,235
2004,Melvin Upton Jr.,0.2,5015
2018,Christian Arroyo,0.2,16434
2001,Jason Tyner,0.2,1232
2020,Brett Phillips,0.2,14735
2006,Dioner Navarro,0.2,3179
2005,Aubrey Huff,0.2,1213
2009,Joe Dillon,0.2,2384
2016,Bobby Wilson,0.2,6564
2015,Nathan Karns,0.2,12638
2009,Andy Sonnanstine,0.2,7667
2013,Delmon Young,0.2,2140
2005,Damon Hollins,0.2,1919
2015,Daniel Nava,0.1,5450
2020,Nate Lowe,0.1,19566
2005,Josh Phelps,0.1,1318
2010,Dan Johnson,0.1,2167
2016,Nick Franklin,0.1,10166
2015,Grady Sizemore,0.1,2197
2018,Vidal Nuno,0.1,9674
2002,Joe Kennedy,0.1,1217
2008,Justin Ruggiano,0.1,7620
2016,Oswaldo Arcia,0.1,10306
2006,James Shields,0.1,7059
1998,Tony Saunders,0.1,1011463
2015,Ryan Brett,0.1,12138
2005,Alex Sanchez,0.1,708
2017,Daniel Robertson,0.1,14145
2000,Ozzie Timmons,0.1,1013072
2008,Dan Johnson,0.1,2167
2000,John Flaherty,0.1,1206
2019,Jesus Aguilar,0.1,11342
1999,Mickey Callaway,0.1,7
2000,Mike DiFelice,0.1,1151
2011,Wade Davis,0.1,7441
2011,Jose Lobaton,0.1,4243
2020,Kevan Smith,0.1,12284
2019,Anthony Bemboom,0.1,13854
2007,Jason Hammel,0.1,4538
2017,Lucas Duda,0.1,2502
2018,Blake Snell,0.1,13543
2016,Richie Shaffer,0.1,13271
2004,Charles Gipson,0.1,1078
2002,Russ Johnson,0.1,1216
1998,Jerome Walton,0.1,1013593
2007,Andy Sonnanstine,0.1,7667
2006,Sean Burroughs,0.1,1021
2020,Brian O'Grady,0.1,16729
2017,Rickie Weeks Jr.,0.1,1849
2000,Fred McGriff,0.1,293
2000,Bubba Trammell,0.1,1057
2016,Matt Duffy,0.1,13836
2008,James Shields,0.1,7059
2007,J.P. Howell,0.1,8245
2014,Alex Cobb,0.1,6562
2001,Ryan Rupe,0.1,1223
2016,Matt Moore,0.1,1890
2019,Oliver Drake,0.1,8823
2000,Steve Trachsel,0.1,898
1999,Dave Martinez,0.1,1008160
2000,Aubrey Huff,0.1,1213
2010,Desmond Jennings,0.1,1965
2013,Tim Beckham,0.1,7949
2005,Kevin Cash,0.1,1593
1999,Julio Santana,0.1,496
2000,Bobby Smith,0.1,1493
2000,Bryan Rekar,0.1,625
2017,Chris Archer,0.1,6345
2019,Michael Perez,0.1,12977
2017,Jake Odorizzi,0.1,6397
2004,Mark Hendrickson,0.1,1574
2012,Wade Davis,0.1,7441
2010,James Shields,0.0,7059
2012,Luke Scott,0.0,3469
2004,Midre Cummings,0.0,1927
2007,Edwin Jackson,0.0,1841
2007,Scott Kazmir,0.0,4897
1999,Mike Duvall,0.0,1003603
2020,Jose Martinez,0.0,7996
2013,Jeremy Hellickson,0.0,4371
2015,Tim Beckham,0.0,7949
2004,Victor Zambrano,0.0,1237
2004,Rob Bell,0.0,1492
2009,David Price,0.0,3184
2011,Jeff Niemann,0.0,8591
2012,Brandon Gomes,0.0,2267
2012,Brandon Allen,0.0,7436
2003,Carlos Reyes,0.0,1721
1998,Rick White,0.0,456
2017,Derek Norris,0.0,6867
2016,Jake Odorizzi,0.0,6397
2003,Jeff Liefer,0.0,245
2016,Blake Snell,0.0,13543
2017,Danny Espinosa,0.0,9219
2001,Joe Kennedy,0.0,1217
2019,Johnny Davis,0.0,15830
2002,David McCarty,0.0,1462
2019,Brendan McKay,0.0,20186
2014,Cole Figueroa,0.0,8790
2012,James Shields,0.0,7059
2014,Nick Franklin,0.0,10166
2010,Brad Hawpe,0.0,1885
2019,Christian Arroyo,0.0,16434
