Name,WAR,playerid
Ben Sheets,31.9,710
Carlos Zambrano,27.7,305
Aaron Harang,21.9,1451
Chris Carpenter,20.1,1292
Kerry Wood,18.9,304
Matt Morris,17.8,1172
Mark Prior,16.3,301
Adam Wainwright,12.5,2233
Jon Lieber,11.9,287
Zach Duke,11.9,3840
