Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
9/20/2018,Washington Nationals,NYM,1,0,0,3.86,1,1,0,0,0,0,0,7,28,5,3,3,2,2,0,0,0,0,13,58
9/14/2018,Washington Nationals,ATL,1,0,1,13.5,1,1,0,0,0,0,0,4,23,7,6,6,0,3,0,1,0,0,6,30
9/8/2018,Washington Nationals,CHC,1,1,0,3,1,1,1,0,0,0,0,9,36,9,3,3,0,0,0,1,0,0,11,76
9/3/2018,Washington Nationals,STL,1,0,0,3.86,1,1,0,0,0,0,0,7,26,4,3,3,1,1,0,0,0,1,11,66
8/28/2018,Washington Nationals,PHI,1,0,0,5.4,1,1,0,0,0,0,0,5,20,4,3,3,2,0,0,1,0,0,5,44
8/23/2018,Washington Nationals,PHI,1,0,1,2.57,1,1,0,0,0,0,0,7,27,2,2,2,1,4,0,0,0,0,10,66
8/17/2018,Washington Nationals,MIA,1,1,0,0,1,1,0,0,0,0,0,6,22,5,0,0,0,1,0,0,0,0,7,69
8/12/2018,Washington Nationals,CHC,1,0,0,0,1,1,0,0,0,0,0,7,25,3,0,0,0,1,1,0,0,0,11,83
8/7/2018,Washington Nationals,ATL,1,0,0,1.29,1,1,0,0,0,0,0,7,26,4,1,1,1,1,0,0,0,0,6,67
8/2/2018,Washington Nationals,CIN,1,1,0,3,1,1,0,0,0,0,0,6,24,4,2,2,1,2,0,0,0,0,10,60
7/27/2018,Washington Nationals,MIA,1,1,0,0,1,1,0,0,0,0,0,8,31,3,1,0,0,1,0,1,0,0,11,86
7/22/2018,Washington Nationals,ATL,1,1,0,3,1,1,0,0,0,0,0,6,24,8,2,2,0,1,0,0,0,0,7,57
7/12/2018,Washington Nationals,NYM,1,1,0,3.86,1,1,0,0,0,0,0,7,27,5,3,3,2,2,0,0,0,0,5,50
7/7/2018,Washington Nationals,MIA,1,1,0,5.14,1,1,0,0,0,0,0,7,28,7,4,4,3,2,0,0,0,0,3,35
7/2/2018,Washington Nationals,BOS,1,0,1,4.5,1,1,0,0,0,0,0,6,27,4,3,3,0,3,2,2,1,0,9,60
6/26/2018,Washington Nationals,TBR,1,0,1,1.29,1,1,0,0,0,0,0,7,28,4,1,1,0,3,0,0,0,0,4,67
6/21/2018,Washington Nationals,BAL,1,0,0,2.57,1,1,0,0,0,0,0,7,27,5,2,2,2,1,0,0,1,0,9,59
6/16/2018,Washington Nationals,TOR,1,0,1,3,1,1,0,0,0,0,0,6,24,4,2,2,1,1,0,1,0,0,10,62
6/10/2018,Washington Nationals,SFG,1,0,1,2.57,1,1,0,0,0,0,0,7,28,4,2,2,1,3,0,0,0,0,9,63
6/5/2018,Washington Nationals,TBR,1,1,0,2.25,1,1,0,0,0,0,0,8,28,5,2,2,0,0,0,0,0,0,13,83
5/30/2018,Washington Nationals,BAL,1,1,0,0,1,1,0,0,0,0,0,8,27,2,0,0,0,1,0,0,0,0,12,92
5/25/2018,Washington Nationals,MIA,1,1,0,6,1,1,0,0,0,0,0,6,29,7,4,4,1,2,0,1,0,0,4,42
5/19/2018,Washington Nationals,LAD,1,0,0,2.57,1,1,0,0,0,0,0,7,29,5,2,2,1,3,0,0,0,0,13,65
5/11/2018,Washington Nationals,ARI,1,1,0,1.29,1,1,0,0,0,0,0,7,25,4,1,1,1,0,0,0,0,0,11,74
5/6/2018,Washington Nationals,PHI,1,0,0,1.42,1,1,0,0,0,0,0,6.1,26,5,1,1,0,2,1,1,0,0,15,74
5/1/2018,Washington Nationals,PIT,1,1,0,2.84,1,1,0,0,0,0,0,6.1,24,3,2,2,1,2,0,0,0,0,8,62
4/25/2018,Washington Nationals,SFG,1,1,0,3,1,1,0,0,0,0,0,6,25,5,2,2,0,2,0,0,1,0,10,64
4/20/2018,Washington Nationals,LAD,1,1,0,1.5,1,1,0,0,0,0,0,6,26,4,1,1,0,3,0,2,0,0,9,66
4/14/2018,Washington Nationals,COL,1,1,0,2.57,1,1,0,0,0,0,0,7,23,1,2,2,1,1,0,0,0,0,11,75
4/9/2018,Washington Nationals,ATL,1,1,0,0,1,1,1,1,0,0,0,9,28,2,0,0,0,0,0,0,0,0,10,98
4/4/2018,Washington Nationals,ATL,1,0,1,3.6,1,1,0,0,0,0,0,5,24,6,5,2,1,2,0,0,1,0,7,38
3/30/2018,Washington Nationals,CIN,1,1,0,0,1,1,0,0,0,0,0,6,24,5,0,0,0,1,0,0,0,0,10,72
9/30/2017,Washington Nationals,PIT,1,0,0,0,1,1,0,0,0,0,0,3.1,12,1,0,0,0,1,0,0,0,0,5,61
9/24/2017,Washington Nationals,NYM,1,1,0,1.5,1,1,0,0,0,0,0,6,22,3,1,1,1,1,0,0,0,0,10,69
9/19/2017,Washington Nationals,ATL,1,1,0,2.57,1,1,0,0,0,0,0,7,27,5,2,2,0,1,0,0,0,0,7,71
9/13/2017,Washington Nationals,ATL,1,0,1,10.5,1,1,0,0,0,0,0,6,30,7,7,7,0,6,1,0,0,0,7,36
9/8/2017,Washington Nationals,PHI,1,1,0,6,1,1,0,0,0,0,0,6,27,6,4,4,1,3,0,1,0,0,7,47
9/2/2017,Washington Nationals,MIL,1,0,0,1.8,1,1,0,0,0,0,0,5,19,2,1,1,0,2,0,0,0,0,2,61
8/28/2017,Washington Nationals,MIA,1,1,0,1.29,1,1,0,0,0,0,0,7,27,5,1,1,1,2,0,1,0,0,10,69
8/13/2017,Washington Nationals,SFG,1,0,0,2.57,1,1,0,0,0,0,0,7,25,5,2,2,1,1,0,0,0,0,10,68
8/7/2017,Washington Nationals,MIA,1,0,0,2.57,1,1,0,0,0,0,0,7,28,5,2,2,1,2,0,0,0,0,9,65
8/1/2017,Washington Nationals,MIA,1,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,46
7/27/2017,Washington Nationals,MIL,1,1,0,1.5,1,1,0,0,0,0,0,6,23,3,1,1,1,3,0,0,0,0,9,64
7/21/2017,Washington Nationals,ARI,1,0,0,9,1,1,0,0,0,0,0,5,25,8,5,5,3,2,1,0,0,0,9,26
7/15/2017,Washington Nationals,CIN,1,1,0,0,1,1,0,0,0,0,0,6,25,3,0,0,0,4,0,0,0,0,10,72
7/7/2017,Washington Nationals,ATL,1,0,0,4.7,1,1,0,0,0,0,0,7.2,29,6,4,4,1,1,0,0,0,0,10,64
7/2/2017,Washington Nationals,STL,1,1,0,0,1,1,0,0,0,0,0,7,26,2,0,0,0,2,0,0,0,0,12,86
6/27/2017,Washington Nationals,CHC,1,1,0,1.5,1,1,0,0,0,0,0,6,21,2,1,1,0,0,0,1,0,0,6,75
6/21/2017,Washington Nationals,MIA,1,0,1,0,1,1,1,0,0,0,0,8,29,2,2,0,0,1,0,2,1,0,11,87
6/16/2017,Washington Nationals,NYM,1,1,0,1.13,1,1,0,0,0,0,0,8,29,4,1,1,1,2,0,2,0,0,10,77
6/11/2017,Washington Nationals,TEX,1,0,1,2.45,1,1,0,0,0,0,0,7.1,27,3,3,2,1,1,0,0,0,0,10,71
6/6/2017,Washington Nationals,LAD,1,1,0,0,1,1,0,0,0,0,0,7,28,3,1,0,0,2,0,0,0,0,14,83
