Name,WAR,playerid
Jimmie Foxx,77.0,1004285
Lou Gehrig,76.2,1004598
Mel Ott,70.2,1009904
Charlie Gehringer,60.6,1004596
Arky Vaughan,52.9,1013377
Joe Cronin,50.6,1002796
Paul Waner,44.8,1013597
Earl Averill,44.8,1000378
Bill Dickey,42.7,1003271
Wally Berger,42.5,1000875
