Season,Name,vFA,playerid
2016,Noah Syndergaard,98.9,11762
2014,Yordano Ventura,98.0,11855
2019,Noah Syndergaard,97.9,11762
2016,Nathan Eovaldi,97.8,9132
2018,Luis Severino,97.7,15890
2018,Noah Syndergaard,97.7,11762
2015,Noah Syndergaard,97.7,11762
2017,Luis Severino,97.6,15890
2016,James Paxton,97.6,11828
2015,Nathan Eovaldi,97.5,9132
